id;g_uid;activity_type;start_date;end_date;description;created_by;created_on;updated_by;updated_on
1;c6caced5-3f6b-45cc-a33b-e96fc3719c31;Transportation;2022-08-02T23:38:47;2022-08-02T18:08:03;Rufiyaa THX Loan;99242;2022-08-03T02:31:39;41735;2022-08-03T03:48:05
2;887cbfa1-ddab-4700-b5b2-f09b72e80651;Dosing;2022-08-03T03:27:57;2022-08-03T02:22:26;evolve maroon;91739;2022-08-02T10:30:03;27639;2022-08-03T06:26:58
3;2f50a980-86b3-445d-a3c4-6f2f31c5f543;Irrigation;2022-08-03T05:01:25;2022-08-02T19:20:13;Ethiopian Toys matrix;70793;2022-08-02T20:35:25;64470;2022-08-02T18:10:33
4;b156843c-27df-4d6b-b3d6-633b993ff1f0;Harvesting;2022-08-02T22:49:47;2022-08-02T16:04:16;Global;25615;2022-08-02T10:24:15;21995;2022-08-02T13:21:07
5;6945028c-e500-4f7f-a5c8-d5f0aa7f4fb1;Transportation;2022-08-02T10:02:32;2022-08-02T20:51:39;Granite;46997;2022-08-02T10:09:52;37869;2022-08-03T02:30:01
6;5f5ba764-fa78-443d-9b3e-05ca5e03f5f1;Transportation;2022-08-03T04:38:18;2022-08-02T15:31:25;wireless Buckinghamshire;94753;2022-08-02T12:29:59;34226;2022-08-02T19:23:15
7;28e16bbd-1249-4d9e-b284-1877fcd4ff41;Transportation;2022-08-02T16:54:14;2022-08-03T04:46:16;Cambridgeshire Licensed bottom-line;91172;2022-08-03T01:50:33;66128;2022-08-02T20:29:10
8;6f316d45-d920-48da-ab30-89a1266e27f6;Dosing;2022-08-02T13:30:54;2022-08-03T08:45:52;e-tailers RSS Sleek;96409;2022-08-02T16:27:59;481;2022-08-03T01:28:00
9;d71aa68e-a70b-49da-9cb5-3ba39a82c558;Irrigation;2022-08-02T19:52:21;2022-08-02T12:01:14;Jewelery compress Music;75708;2022-08-02T23:38:50;79159;2022-08-02T08:57:29
10;69d09986-8825-4e1b-aab2-0fd401f6724f;Dosing;2022-08-03T03:59:16;2022-08-03T07:49:14;Dynamic;52558;2022-08-02T23:23:43;15063;2022-08-03T04:00:23
