id;g_uid;name;alert_type;description;date_period;duration_days;minimum_temperature;maximum_temperature;min_humidity;max_humidity;precipitation_type;min_precipitation;max_precipitation;status;remediation;farm_assigned;created_by;created_on;updated_by;updated_on
1;01f876fb-bae2-4c44-bd13-45670c5b43b4;Wyoming;Weed;Fantastic;37007;5775;25206;78915;89256;91764;Sleet;40449;22045;Active;Manual;grey Indonesia;70751;2022-08-02T21:06:19;581;2022-08-03T02:28:35
2;87b5931c-8cdb-4df3-9eec-c3c625baf63f;North Research;Humidity;Rustic synergies Optimization;30726;82297;38259;88591;35525;94959;Rain;48609;38233;Active;Automatic;Toys Macao;41438;2022-08-03T08:28:35;41596;2022-08-03T04:48:30
3;55542561-f97d-4515-a266-a80ce5ae950e;Shoes Account;Spraying;Architect Krona;23182;405;74240;73663;21244;31292;Rain;19689;28393;Inactive;Manual;calculate District Music;22218;2022-08-03T07:48:45;75637;2022-08-03T06:01:21
4;19e42fea-8ee0-4f1c-bdb8-472eecb3df19;monitor Handcrafted;Alerts;deposit;84008;76867;63074;40353;69871;89484;Hail;39880;10790;Inactive;Manual;port Global Spurs;70718;2022-08-03T01:20:29;90543;2022-08-02T09:55:52
5;ce2c5e42-d491-4cd9-995d-fc49bff9ca39;Dynamic;Solar;Analyst Ergonomic;36550;86162;92569;68996;88;10938;Hail;58032;56000;Active;Automatic;enhance;91501;2022-08-03T05:18:22;95265;2022-08-02T21:09:55
6;f31e5ab8-3fe0-42c3-9873-314867f7848f;Tools;Weed;Account middleware Unbranded;96383;9127;83834;14097;16187;62184;Hail;45371;83404;Inactive;Manual;Refined Agent;18985;2022-08-02T12:17:14;8575;2022-08-02T19:05:42
7;b11387d4-d98a-4987-885f-e4cc4912ac3f;Ariary synthesizing markets;Solar;Usability Ergonomic;7445;19600;89345;47212;95532;73612;Sleet;75078;13328;Inactive;Automatic;Cheese Table;21421;2022-08-03T01:46:39;11950;2022-08-02T22:36:57
8;7c332754-cfb3-4532-bb33-064f2b9b3df5;Intelligent Applications;Pest;Bacon Account;77975;93160;73704;97771;64611;24678;Rain;31576;69818;Inactive;Manual;Computers;34079;2022-08-02T17:16:05;86189;2022-08-03T02:22:13
9;67a45a77-2367-4ef5-8259-43db790126a8;port;Disease;functionalities Keyboard;52940;27873;4945;77500;39563;85786;Hail;4886;85455;Inactive;Automatic;visionary;76299;2022-08-03T02:48:18;78524;2022-08-02T19:43:47
10;92540053-8779-499e-90cc-2981803b789a;deposit;Alert;Small transitional Tools;12150;50133;39839;96127;63656;19229;Sleet;53833;77779;Active;Automatic;Integration Dynamic Senior;47058;2022-08-02T22:49:33;37683;2022-08-02T10:18:34
