id;g_uid;from_date;thru_date;created_by;created_on;updated_by;updated_on
1;5625e171-4ed1-4dbf-8586-2e0529187e87;2022-08-03T05:04:37;2022-08-02T13:54:21;67747;2022-08-02T19:44:31;3702;2022-08-03T03:04:27
2;fefef120-2909-4858-a906-71ebf0303be1;2022-08-03T08:16:40;2022-08-03T03:06:43;29119;2022-08-02T20:52:29;25941;2022-08-02T18:19:17
3;0776ba65-a668-405d-abf6-a99d72d8d9bf;2022-08-02T17:47:00;2022-08-02T10:18:25;3723;2022-08-02T15:35:42;64957;2022-08-03T07:39:29
4;f9caa890-5de8-43b0-9e94-9c06a6ab4349;2022-08-02T16:39:08;2022-08-03T08:42:36;81519;2022-08-02T16:55:50;51047;2022-08-03T01:47:59
5;787d299c-e2e4-4ff4-88a7-913a6de81df5;2022-08-02T21:47:18;2022-08-02T15:46:24;76911;2022-08-02T19:45:38;96310;2022-08-02T18:10:42
6;f9d4d7bd-936b-4bfb-89cc-90ddd3c84fb1;2022-08-03T03:45:09;2022-08-03T07:15:58;92424;2022-08-03T00:49:15;92092;2022-08-02T16:17:34
7;cb3bbbfb-2e52-4411-bcde-d2d82cfc0e9b;2022-08-03T03:11:48;2022-08-02T16:17:49;92082;2022-08-03T02:00:33;45706;2022-08-03T00:11:27
8;cef4afcd-e2ec-4914-86c6-f272efbe6f1e;2022-08-03T07:29:04;2022-08-02T12:43:23;76647;2022-08-03T07:32:18;68111;2022-08-03T03:03:05
9;ed9c89f6-6a9c-478f-ac97-d47ad4a5622b;2022-08-03T00:25:07;2022-08-02T11:55:43;39609;2022-08-03T05:43:57;76863;2022-08-02T14:01:41
10;14102b99-7f22-41e5-a323-74b0ee168712;2022-08-03T00:15:01;2022-08-02T19:04:32;17808;2022-08-02T13:26:58;88902;2022-08-03T01:22:12
