id;g_uid;breeder_name;breeder_type;breeder_status;breeder_description;created_by;created_on;updated_by;updated_on
1;ffe6bdc0-0bc2-4769-a509-7bd18715b428;Club Buckinghamshire Account;44440;54232;index;64798;2022-08-02T10:03:19;34891;2022-08-03T02:09:14
2;b2d95d24-7f3d-4cbe-971e-a9574f6a3b5e;payment;62060;33763;yellow;90306;2022-08-02T12:19:21;40076;2022-08-02T23:49:17
3;6f75d313-1b44-4ea2-aae0-7d23353bb4a3;Keyboard firewall;84926;60570;impactful Nicaragua;78295;2022-08-02T21:53:21;38951;2022-08-02T13:20:08
4;3b63d9b6-8158-4ff1-8226-e0be3e50a812;connecting;51279;8044;User-centric;29713;2022-08-02T17:16:20;50703;2022-08-02T22:23:07
5;9e101228-657f-4270-8d75-b15f613760a2;Avon HTTP state;70784;94658;payment;40657;2022-08-03T02:09:43;53569;2022-08-03T01:02:57
6;99f431b4-7850-4181-9d52-32028b512cb4;(EURCO) success Ergonomic;82084;32932;bandwidth;85184;2022-08-02T09:47:45;66308;2022-08-02T15:10:20
7;406e026a-4e51-4d47-9c8b-1671c2b0ea4b;Uruguay Supervisor;31908;18011;project Designer;17970;2022-08-02T17:23:19;28759;2022-08-03T01:59:20
8;c5a531c2-5cdb-43fc-85c3-c5bc02440d47;Planner;31295;36098;Georgia;95998;2022-08-02T21:57:52;78031;2022-08-02T20:04:53
9;81fdcb4a-2d47-40dd-8641-3c5732ee25af;microchip bandwidth;15229;52567;Associate USB;68442;2022-08-02T10:16:00;38204;2022-08-02T20:22:23
10;1fea29fe-6db8-4223-ac6f-08266640b754;optical Forward;7582;60895;plug-and-play;89897;2022-08-02T20:23:38;83849;2022-08-02T09:36:52
