id;g_uid;calender_date;calender_year;day_of_week;month_of_year;week_of_month;week_of_quarter;week_of_year;day_of_quarter;day_of_year;created_by;created_on;updated_by;updated_on
1;254fe14d-5bc0-4f23-9b01-b3402dc148d9;2022-08-02T23:23:41;15355;26450;21162;24114;21028;90889;93228;59428;71583;2022-08-02T22:10:52;67285;2022-08-03T05:56:27
2;af0a384d-f9bd-4471-a9d1-ca6dfa668038;2022-08-02T17:11:47;29391;64983;3406;74169;66813;41675;31725;17921;70895;2022-08-02T23:46:34;21918;2022-08-02T17:06:49
3;93dd264b-dc29-4703-81ff-82d137454d29;2022-08-02T16:53:11;18245;34301;82767;70939;5721;57220;42325;43005;12367;2022-08-03T02:44:18;19434;2022-08-02T18:13:56
4;4ee00a0d-8035-425b-9f05-2d350016c93e;2022-08-03T04:29:37;26547;64092;63747;31658;42083;74651;55186;2310;76974;2022-08-02T19:26:21;2515;2022-08-03T08:06:12
5;821953e9-d6f4-4396-a596-4b6e54cf42fb;2022-08-02T09:17:13;67181;29024;16150;84812;79784;96599;73263;53119;86697;2022-08-03T06:01:23;46555;2022-08-02T16:31:52
6;1b545394-2f6e-43ee-a44d-e37cd0c82f3c;2022-08-02T17:45:19;56288;1214;78525;87574;41409;80499;87868;79304;94757;2022-08-02T21:23:07;12777;2022-08-02T11:03:34
7;c3f17600-b981-488a-aa8a-7766fff7e3f8;2022-08-03T03:20:01;79044;35358;68828;98792;64451;67084;23059;49791;54920;2022-08-02T11:04:29;68113;2022-08-03T01:04:59
8;bbd50b49-b564-43aa-bb5a-a0b4d4d90d46;2022-08-02T17:09:29;27407;74879;23539;58569;45897;31601;10673;85154;68418;2022-08-02T18:57:21;85610;2022-08-02T08:56:32
9;ffffee06-196b-4fa1-bece-6392a8650cc3;2022-08-02T22:17:57;83975;34684;62833;14723;13268;72425;85434;29240;14338;2022-08-03T02:28:40;45301;2022-08-02T13:46:15
10;d24f730d-f226-4541-84ce-05ad65cf1865;2022-08-02T13:01:20;86806;94646;12155;97095;82527;66535;77949;48612;17098;2022-08-02T23:15:19;84290;2022-08-03T08:49:44
