id;g_uid;source;air_temperature;relative_humidity;v_pd;evapotranspiration;barometric_pressure;sea_level_pressure;co_2_level;dew_point;solar_radiation;heat_index;created_by;created_on;updated_by;updated_on
1;42d6393c-4908-49f7-bb4c-a2412d677b0e;Automatic;89577;42945;16739;44043;27708;34338;10752;84650;58460;54779;28272;2022-08-02T18:36:56;56422;2022-08-03T05:56:35
2;b810f10a-f1e3-47fc-8981-fbc4947cf72a;Automatic;66162;64217;58489;29756;57740;4480;44469;347;96796;15378;50201;2022-08-02T21:39:02;76649;2022-08-03T08:27:56
3;fcc97b66-480b-4fc0-9c4e-d666138197cf;Automatic;83054;55384;44429;90866;96952;13723;41303;42095;15086;81202;20022;2022-08-03T06:39:52;36636;2022-08-02T19:32:30
4;835829c5-0568-4dc7-901b-c9140b71c071;Automatic;98997;28713;8024;24741;31525;4412;97901;91881;98289;27185;44052;2022-08-03T04:52:07;34462;2022-08-02T22:42:08
5;a19cf229-86aa-4d54-bfa9-c8660e51d2e2;Manual;38654;71805;49698;30725;83033;16680;1572;6626;29957;35017;13027;2022-08-03T06:05:36;28530;2022-08-02T19:27:37
6;f93ddf6a-1f6b-48db-9ef2-5cb0adb42eee;Automatic;98842;2113;95458;72686;85422;17530;16928;67932;54296;88900;78189;2022-08-02T20:55:25;4077;2022-08-03T08:01:58
7;783b1d26-07eb-46b5-8036-1c00659e5cb9;Manual;40141;20590;11446;92814;46029;35904;69659;33755;55557;61227;72060;2022-08-02T10:12:14;41422;2022-08-03T08:29:51
8;0e663792-264c-442f-8bc0-4cd5c4162677;Manual;66840;29088;74678;21812;53280;27107;84770;35072;4468;63937;80970;2022-08-02T18:20:48;98415;2022-08-02T23:33:36
9;1f2b3b72-114d-4676-a86c-622be491a379;Automatic;77550;49075;88090;76544;91618;33688;94638;68546;16601;33837;72910;2022-08-03T07:12:49;10481;2022-08-03T05:01:53
10;dc08f7e6-ac48-48f1-9642-e08c868d9627;Automatic;2039;15222;34470;3905;38097;93356;88056;94736;27553;14152;8300;2022-08-02T11:46:09;55685;2022-08-02T18:11:03
