id;g_uid;crop_code;crop_name;crop_type;horticulture_type;is_hybrid;cultivar;sowing_date;sowing_depth;row_spacing_max;row_spacing_min;seed_depth_max;seed_depth_min;seed_spacing_max;seed_spacing_min;yearly_crops;growing_season;growing_phase;planting_date;plant_spacing;planting_material;transplantation_date;fertigationschedule_id;planned_yield;actual_yield;yield_unit;created_by;created_on;updated_by;updated_on
1;5fcd78d3-a82f-46d8-b4c2-fea2e6d6e927;Profound connect;help-desk Strategist;Horticulture;Pomology;true;SCSI Incredible dynamic;2022-08-02T16:27:35;79296;68935;7233;91018;62759;62267;63426;89418;Maine;Development;2022-08-02T14:23:32;86140;Seeds;2022-08-03T00:24:15;75397;82853;66186;7699;21085;2022-08-02T23:56:38;85522;2022-08-02T18:19:54
2;94cc3a7c-066b-4548-9833-a51f25664a5f;Direct Shoals;Curve Savings SSL;Crops;Olericulture;true;Haiti Orchestrator;2022-08-02T09:27:30;27342;32752;34985;36865;66303;52811;5237;17065;connecting Archipelago) Small;Season;2022-08-02T22:26:30;90112;Seeds;2022-08-03T02:10:53;75397;73215;5839;65724;19969;2022-08-02T13:32:21;83882;2022-08-02T21:00:12
3;f1f526b2-64b1-4d34-80f5-6952285ff88f;Berkshire online paradigm;Front-line;Plantation;Floriculture;false;Fresh Small View;2022-08-03T04:13:25;73258;29509;26539;32185;20343;79571;6959;99849;Account open-source;Initial;2022-08-03T06:30:18;73346;Suckers;2022-08-02T16:52:25;71237;85327;65117;29071;36567;2022-08-02T17:29:03;12688;2022-08-03T04:47:01
4;b7b1d0a0-468d-4dcf-9eba-68a3febe354b;Northern;Account;Crops;Viticulture;true;Communications state;2022-08-02T23:35:20;76847;4539;31855;97349;10035;5505;52504;84239;Baby Drive;Late;2022-08-03T08:50:43;51028;Bulbs;2022-08-02T19:57:18;96646;34153;385;68540;18769;2022-08-02T16:04:47;80912;2022-08-03T04:35:38
5;7d5bae28-d9d6-400a-90af-5cd1c7a36b0a;Ergonomic;override Personal;Crops;Pomology;false;Berkshire;2022-08-03T03:44:17;82718;78722;27987;9132;15752;25166;79440;59168;Unbranded Bike;Mid;2022-08-02T20:18:57;91931;Bulbs;2022-08-03T00:37:23;10537;75933;39939;62676;32809;2022-08-02T17:57:16;23689;2022-08-02T10:35:49
6;9dd61833-2b47-4a20-9a07-5d0a3d6784ac;solid Buckinghamshire Assistant;withdrawal lavender;Food;Olericulture;true;Health parsing;2022-08-02T13:13:10;17969;17253;41501;66036;93372;34354;46412;49586;Planner Lesotho complexity;Crop;2022-08-03T04:02:48;95911;Cuttings;2022-08-02T20:32:31;50692;59225;15509;83544;16237;2022-08-03T06:45:38;12746;2022-08-03T06:00:37
7;684c9b9a-a587-44ef-9644-847fa6db2233;Dollar bypassing;Garden;Crops;Pomology;true;whiteboard back;2022-08-02T19:23:39;36072;17575;24675;63283;45334;52624;40373;83791;productize Cambridgeshire;Crop;2022-08-02T10:54:16;43704;Suckers;2022-08-03T00:00:17;25205;81105;25706;97912;22993;2022-08-03T02:09:43;52073;2022-08-02T21:01:46
8;fcb6799f-9272-478c-b205-fb44ee1267d2;Rustic Awesome Florida;TCP Designer;Crops;Landscaping;false;methodologies;2022-08-02T18:02:00;41171;64713;29784;59259;52110;89595;22056;67713;cross-platform;Season;2022-08-03T01:34:49;50292;Seedlings;2022-08-02T15:25:58;90649;68497;91155;89796;87274;2022-08-02T10:52:22;4719;2022-08-02T16:55:32
9;d5d757d7-701a-4d89-b402-d65f4fa45f3f;connecting;overriding;Food;Olericulture;false;Bedfordshire Frozen Kids;2022-08-02T09:26:49;19126;94127;31429;88018;24381;62982;63418;63744;hacking open-source SMTP;Stage;2022-08-03T07:34:51;67544;Stem;2022-08-02T15:04:43;90211;43747;59237;20129;7371;2022-08-02T14:40:24;31838;2022-08-02T12:07:52
10;1ced8a95-ce37-4fe0-b9bb-c71287795d1d;Shoes;syndicate;Food;Landscaping;true;hard;2022-08-03T04:49:00;43133;30313;22723;56420;66246;86180;19302;88968;Salad;Development;2022-08-03T08:51:37;39981;Suckers;2022-08-02T15:17:28;3240;67175;52922;17494;893;2022-08-02T14:16:10;26500;2022-08-02T10:25:08
