id;g_uid;device_model;device_asset;device_type;hardware_id;reporting_interval_location;parent_device;properties;description;created_by;created_on;updated_by;updated_on
1;44d72ccd-44d0-4b29-88b1-db1756095203;Wooden Sleek Executive;Lead Leu;Input;69339;25975;Human connecting Tactics;teal indigo Concrete;turquoise;55609;2022-08-03T06:19:59;91198;2022-08-02T21:10:34
2;3462a951-fdde-416e-a10d-7dfc3809a3d9;Rubber;mobile Reduced SAS;Mobile;27079;76987;systematic Ergonomic Dynamic;Handmade hacking copying;innovative Arab fault-tolerant;99092;2022-08-02T17:16:02;3116;2022-08-02T11:59:02
3;0aa40503-1bd3-454d-bb4f-16f8402b6611;Montana;Shilling B2C group;Mobile;85148;27475;online;workforce Producer withdrawal;virtual;68290;2022-08-02T20:03:18;99894;2022-08-03T03:25:14
4;78bec13e-db95-45f1-ae0c-1ee5336e5b68;payment Sausages markets;Supervisor Facilitator;IOT;34263;22778;Organized panel Forint;Bedfordshire invoice;virtual copying;92465;2022-08-03T06:30:48;56850;2022-08-02T09:21:50
5;bcd048a7-d7f0-4c55-912c-4693aa21fc21;Delaware Facilitator;virtual turquoise;Output;52075;61736;Awesome Account index;mint;Licensed foreground red;93971;2022-08-03T02:06:34;82704;2022-08-02T13:26:31
6;77141228-e629-4ac5-86cd-799a575700ed;Computers reboot;Synergistic;Devices;93925;53788;connecting;Arkansas Account;Inlet;26503;2022-08-02T11:19:59;73093;2022-08-03T08:10:01
7;06b561f9-fddf-41f7-957d-fa418c9bf256;withdrawal;Lempira time-frame Berkshire;Storage;66657;19477;Vanuatu;redundant Intranet navigate;Programmable;47834;2022-08-03T07:26:57;35040;2022-08-03T08:51:38
8;2b0a1a99-564f-4ef7-93eb-1706b065ab14;firewall Fork;Card;IOT;31996;17747;Consultant;cutting-edge Account Home;Keyboard Cambridgeshire Assistant;4545;2022-08-02T11:02:44;99726;2022-08-02T11:11:45
9;a446ac6b-10f0-427a-82b9-b3f27e3246b3;teal Handmade;withdrawal International disintermediate;Output;87947;97695;grow grey Automotive;drive;Tasty;90527;2022-08-02T13:21:49;91799;2022-08-03T07:16:15
10;c9ef77e4-c51c-4189-9513-526530e64c07;Shoes;web-readiness synthesizing;IOT;50587;15738;Adaptive silver;streamline Chips visionary;target zero online;50404;2022-08-03T05:00:37;22375;2022-08-03T07:20:53
