id;g_uid;level_name;device_level_type;manufacturer;product_code;ports;properties;description;created_by;created_on;updated_by;updated_on
1;d6014d03-62d2-4a41-ac8f-418dd81ba2a6;New;92958;Cheese;78530;33157;Synergistic;Fall;65064;2022-08-03T03:44:40;43670;2022-08-02T10:24:00
2;90f5ebe9-645a-4b1e-bc53-7eb1f41df737;web-enabled;58296;pricing Comoro;10993;61347;Vanuatu;Consultant Concrete quantify;71130;2022-08-03T02:54:35;87255;2022-08-03T06:29:39
3;24f4637e-6175-40cc-9f85-2cec5385d491;USB Account;80481;action-items;32285;94409;incentivize;Group;35747;2022-08-02T22:14:32;98763;2022-08-02T12:52:56
4;0f48bae2-eaa0-4411-96c5-c0a6a04cd307;Brand;4154;Forward;25909;45653;deposit Alaska coherent;Cotton bandwidth;7864;2022-08-02T17:29:33;19729;2022-08-03T04:06:47
5;6096786e-8eef-4fc7-9e10-479250956ea4;protocol Rustic Communications;14782;partnerships;52771;25568;system communities;Refined Clothing;90517;2022-08-02T08:55:29;23700;2022-08-02T22:35:41
6;5db965a1-b771-46f6-a670-0451b295acbc;Music turquoise;5147;Senior;49078;26770;embrace;Books primary Dollar;71452;2022-08-03T06:25:32;20420;2022-08-03T03:32:24
7;68685910-3a0b-45df-9e13-0a2a382bd5ce;invoice Bacon ivory;84125;Vista Clothing;60253;83585;Factors bandwidth Granite;sexy;5001;2022-08-02T09:58:56;85000;2022-08-03T03:11:54
8;bd58742a-038f-40d9-98fd-2c56dbec58cf;invoice Stream;17293;deposit;24366;26092;bypass;Tuna;67908;2022-08-03T05:44:34;44523;2022-08-02T09:13:26
9;b1733583-fa24-4fdf-8226-34f552af0241;online innovate benchmark;83427;Bedfordshire dedicated e-business;88245;78309;cohesive Agent bluetooth;Concrete;28686;2022-08-03T05:39:03;42105;2022-08-03T01:29:44
10;63e87f5f-2198-4a24-a84b-4e717888fc76;Idaho Electronics Adaptive;35987;Wooden;47230;42355;bandwidth Buckinghamshire Handmade;payment payment Berkshire;89803;2022-08-02T11:56:43;25112;2022-08-03T02:41:07
