id;g_uid;model_name;type;manufacturer;product_code;properties;description;created_by;created_on;updated_by;updated_on
1;1256c995-f1a6-4c98-bcfc-efd0a919e8fb;Buckinghamshire lavender;40804;parse deposit bypassing;41039;18024;Checking Strategist;42467;2022-08-02T19:24:59;92380;2022-08-03T05:50:18
2;6d09c604-1b81-4286-b3d0-c5c7f83bf17b;Georgia cross-platform user;66812;solid Distributed Administrator;55415;80964;Practical Analyst;14295;2022-08-02T18:51:32;89534;2022-08-03T02:58:36
3;6c47cb2a-69bf-4d02-b640-13a5e8e481ae;Ergonomic;91460;secured Grocery web-enabled;77784;89928;Loan;13930;2022-08-02T08:57:02;1584;2022-08-02T11:01:15
4;e36c2c5f-56e8-418c-bc34-d01d73d40f3f;ivory hacking;70458;Principal Card;29891;99388;Wooden value-added Rustic;87676;2022-08-03T02:08:29;99339;2022-08-02T16:11:49
5;5a09ef07-459d-4789-8cf4-bdcf47d5e413;channels Connecticut Drive;84597;ubiquitous;41933;35145;service-desk Data;57140;2022-08-03T05:12:30;87293;2022-08-02T13:53:59
6;b9e7fe1f-54c4-4575-9172-41a483db6f6a;Account e-business;89939;Integration;43013;53619;Movies Rubber;20769;2022-08-03T02:13:20;98517;2022-08-03T08:47:29
7;2a0dfd69-9c52-42b5-be64-3dd80553fa21;Garden Cameroon;4167;Group Bedfordshire;45523;55175;invoice Granite haptic;91256;2022-08-02T20:53:29;95533;2022-08-02T12:15:54
8;0287d0d7-d9df-478e-bf71-9246128c1cb7;open-source Cuban;48665;Granite Guatemala;88583;46111;digital Streamlined;68798;2022-08-02T10:12:56;9538;2022-08-03T07:26:16
9;4ea56a01-43e2-4a8f-8186-419c5200f174;deposit;45483;Peso needs-based;24650;48873;quantifying back;50171;2022-08-03T04:08:13;36133;2022-08-03T00:59:51
10;552e25c9-d64d-4489-84c6-4a0025cba803;connect;94289;Borders index Savings;44663;3463;Group;28708;2022-08-03T06:08:25;94787;2022-08-02T08:54:41
