id;g_uid;threat_level;name;causal_organism;attachments;created_by;created_on;updated_by;updated_on
1;a7d8223c-5774-48d4-b38d-dad2405107f1;Low;transmitting Rufiyaa;recontextualize Cayman implement;44568;40083;2022-08-02T21:48:43;39518;2022-08-03T04:31:30
2;5eb68945-634a-48b0-aba5-1c5e423a3652;Low;Intranet;Borders Canyon;8773;44000;2022-08-03T05:48:13;84801;2022-08-03T06:29:35
3;e15e85bd-95d6-4975-9de4-f2d38b2f9907;Moderate;AI;Borders Handcrafted Accounts;66630;24392;2022-08-02T11:22:56;28755;2022-08-02T23:28:05
4;2d8b483f-3aed-4ecf-ac55-4c53bb201a6c;High;Wooden;Manor systems user-facing;46378;61995;2022-08-02T15:56:21;54319;2022-08-03T03:25:26
5;9def581c-6740-4765-90d5-181c254a1548;High;Card innovate Checking;Cambridgeshire XSS;19111;20040;2022-08-03T05:08:16;91124;2022-08-02T09:22:32
6;ddbf203e-8cd3-4afb-a6c0-f10f2922f386;Moderate;Integrated intelligence;Wooden Central;76058;68805;2022-08-02T14:42:21;64020;2022-08-03T02:31:48
7;b6f7a1f9-77d2-460f-9112-3fa4e821cef3;Moderate;deliverables Account port;Ports payment;17150;30723;2022-08-02T12:06:59;87981;2022-08-03T07:42:51
8;14866ee2-f081-4190-9538-0e8cc710994a;High;Facilitator lime;Factors;50409;84644;2022-08-02T18:23:36;84713;2022-08-03T07:57:28
9;5a3c0e36-313b-48d2-b23b-8377ffc22028;High;sensor Liaison;Small;1764;71127;2022-08-02T23:33:08;21514;2022-08-03T03:13:08
10;7b1ddca3-49a9-4d9e-ab63-a65b7850e4c8;High;24/365 time-frame;Berkshire Planner Quetzal;25381;9668;2022-08-02T19:53:07;12830;2022-08-02T11:01:59
