id;g_uid;control_type;treatment;created_by;created_on;updated_by;updated_on
1;4dcc94f0-173a-41ed-a3b0-08060ea7b41b;Cultural;Handmade;68187;2022-08-02T10:08:58;17924;2022-08-02T10:25:28
2;6b0fba99-e07f-413b-b71c-8d9e2a28c7b7;Biological;Human;86718;2022-08-03T03:37:56;49650;2022-08-02T18:57:41
3;de5de368-b4f5-4e4c-b9e4-7960397839c7;Cultural;Designer invoice Ohio;72242;2022-08-03T05:35:38;75007;2022-08-02T20:46:53
4;48357cf1-310e-4a19-83c1-0e3366be738d;Cultural;Handmade Sausages Vietnam;58257;2022-08-02T16:34:41;61581;2022-08-02T18:48:36
5;760bbffe-4adf-43dc-849a-0b45dd902428;Biological;Computer;94361;2022-08-02T17:34:23;70879;2022-08-02T10:11:53
6;8b2f0177-d600-4041-a9b7-c16b15129775;Mechanical;Representative wireless online;96159;2022-08-02T16:17:32;65087;2022-08-03T00:56:52
7;f54e7a3b-1343-435c-a235-cb85435bd608;Biological;Steel;74647;2022-08-03T06:03:03;52454;2022-08-03T08:17:10
8;8471307d-41f3-49bf-876c-ab7ac0424a2d;Mechanical;Minnesota;96420;2022-08-02T20:10:42;19695;2022-08-02T13:05:42
9;e60a516d-010b-4d7f-b52a-20dce73fea17;Cultural;deposit Home Bedfordshire;81655;2022-08-03T02:31:28;71729;2022-08-02T13:14:07
10;c409c297-6c04-49c2-b9eb-23c79e51b68f;Cultural;Oklahoma;68791;2022-08-02T19:07:12;11119;2022-08-02T22:40:44
