id;g_uid;physiological_disorder;cause;control_measure;created_by;created_on;updated_by;updated_on
1;0cb344f7-a753-4e84-be22-9487b99be0a5;incentivize;Steel monitor Global;Sausages neural;62974;2022-08-03T03:02:03;86041;2022-08-02T11:42:26
2;64bac47e-ad49-4f3a-bb5a-74a72fa703dc;payment Borders;Burgs capacitor schemas;Program Dirham;37797;2022-08-02T16:30:46;73288;2022-08-02T16:33:46
3;117ba0da-08d6-496b-aeaa-fb0f764328a7;Handmade;Steel;ubiquitous Incredible Car;16241;2022-08-02T16:30:43;23945;2022-08-03T04:54:51
4;034ac019-0568-4ec2-a4b8-0c55edf877ef;Pants;Towels;HDD Fantastic core;34119;2022-08-02T09:05:48;87137;2022-08-02T18:30:27
5;de3e4092-80d8-4848-a19d-2f0ed09b9d27;Tools Ergonomic Market;budgetary;Accountability;51530;2022-08-02T09:29:30;38398;2022-08-03T01:07:32
6;ab49f0de-bcb8-4693-a698-cdc64175fa24;Electronics superstructure methodical;sticky Principal;Grass-roots connect Generic;60968;2022-08-02T17:33:29;81850;2022-08-02T13:55:01
7;26389572-f981-46c7-b0bc-9c724e41b550;structure transmitter feed;green payment port;Sum Mobility;19320;2022-08-02T10:10:23;11270;2022-08-02T14:16:39
8;e968df47-263e-4df4-ad17-e05b45e3932c;Metal;Shoes;PNG New;69452;2022-08-02T10:41:23;42696;2022-08-03T07:04:51
9;488785f0-ce08-4b92-bca2-224ec6c4e1f2;solid;generate Rustic;Innovative Unbranded overriding;26969;2022-08-02T09:55:55;33266;2022-08-02T15:11:59
10;678c5496-63f6-468b-8a49-8979f9b5c362;redundant Cambridgeshire reboot;Customer British Plastic;Wooden;54283;2022-08-02T08:58:46;96867;2022-08-02T17:26:30
