id;g_uid;source;p_h;e_c;d_o;nutrient_temperature;solar_radiation;created_by;created_on;updated_by;updated_on
1;127ad0ea-954f-40b6-8239-53dc47cf4e49;Automatic;63667;94300;60940;88322;6389;98104;2022-08-02T13:46:18;57479;2022-08-03T01:25:56
2;540124cf-0b3a-4d36-9995-8f2097f81542;Automatic;85109;74177;90105;28123;43631;3858;2022-08-02T13:59:52;57885;2022-08-02T14:37:34
3;c54307dd-29f0-440f-8654-3283962cff86;Automatic;76843;89354;29186;96912;13763;14593;2022-08-02T16:16:47;19595;2022-08-02T10:29:34
4;4719596a-ba3d-46ce-941c-c4099932aa25;Manual;31865;48359;77903;22174;75048;95737;2022-08-02T16:23:01;45329;2022-08-02T17:54:55
5;5b0fc83b-2ec1-4205-a53c-8b4f6e4a1cc7;Manual;46088;99382;49315;36521;13616;28498;2022-08-02T18:59:30;73854;2022-08-02T23:36:14
6;9bd1427e-913d-4170-9216-eafe587fc215;Manual;14300;43543;12886;15012;97071;76344;2022-08-02T18:07:35;19292;2022-08-02T21:20:47
7;d8dba00a-8f3a-4e50-9b3b-3ddd6cae6ec0;Automatic;67406;62214;87210;54017;96401;1520;2022-08-02T12:16:52;19931;2022-08-02T11:53:35
8;352e905a-f4a9-4144-ba34-052fc9c99c54;Automatic;31082;46514;61790;17719;37454;44600;2022-08-02T14:34:36;74351;2022-08-02T09:31:32
9;d12dbe41-5313-4ca9-8dcc-545841770f8f;Automatic;47362;36585;75368;99156;95225;80564;2022-08-02T22:03:03;94691;2022-08-02T20:22:55
10;2eaf0d34-df0d-453a-8cde-f080e94c29c8;Automatic;168;37277;80586;59145;44173;38486;2022-08-02T18:05:09;67183;2022-08-02T09:21:59
