id;ennumeration_type;has_table;description;ennumeration
1;79479;true;District Architect Chief;North sexy input
2;86372;false;optical deposit Bedfordshire;Licensed Refined
3;98973;false;RAM;Investment matrix
4;22620;false;Cotton matrix Architect;orchid
5;95049;true;Throughway;Directives upward-trending
6;56546;false;Refined real-time real-time;Loan
7;26624;true;strategy;USB Security Borders
8;15106;true;Enhanced Assurance Research;port
9;84754;false;Sleek;web-enabled
10;51214;false;Architect Face sensor;synergize RAM
