id;g_uid;farm_name;farm_type;farm_description;created_by;created_on;updated_by;updated_on
1;8e26290c-5ed6-4dd4-803c-e21f47dc7106;red Direct;Farms;disintermediate;42974;2022-08-03T08:36:39;11768;2022-08-02T23:56:07
2;095df6e6-bbcc-4cde-88d8-fbeaed6fd16e;Crossroad;Family;payment International transform;61131;2022-08-02T19:36:07;98199;2022-08-02T14:36:28
3;ed503e10-5f35-498b-85c8-e907cb61d529;end-to-end Strategist;Organic;Checking;60044;2022-08-03T02:58:38;76507;2022-08-03T00:29:11
4;56e4886d-bda9-42fe-a4b8-8660c1ffe652;Fresh cross-platform Sports;Ranch;moderator synthesize;21365;2022-08-02T11:08:23;37063;2022-08-03T08:22:10
5;94bbf367-2c32-4124-855d-991005d31ad3;Brooks;Cooperative;multimedia Vermont pixel;14332;2022-08-02T11:02:05;12139;2022-08-03T06:41:38
6;c68dc7d9-7916-42bb-ab45-49a0b0c09e57;turquoise revolutionize;Orchard;Car Security Technician;35170;2022-08-02T11:24:12;9310;2022-08-02T17:46:19
7;a7ecf1bb-d28f-4eee-9d2c-103f0411ef63;invoice;Farms;Facilitator protocol incentivize;90328;2022-08-02T17:19:02;54043;2022-08-02T14:21:23
8;fcbe12a6-7839-4a1b-bec0-c08202333783;protocol Balanced Generic;Farms;deposit calculate;74802;2022-08-02T22:56:33;75842;2022-08-03T02:44:34
9;12e1f3d3-b36b-4b78-bda8-b8a0cc7f4b4e;Jewelery parsing transmitting;Grain;Tanzania up Grove;9758;2022-08-02T17:14:53;46087;2022-08-02T18:05:12
10;d588ec58-f396-4eaf-8ed6-4e117e84e950;Innovative;Vineyard;Licensed Cotton;57247;2022-08-03T03:19:54;63382;2022-08-02T18:04:36
