id;g_uid;grow_bed_type;grow_bed_name;manufacturer;created_by;created_on;updated_by;updated_on
1;03435b2f-4d0c-49dc-818f-e419d2a52fc9;Dutch;multi-byte;Soft Gateway;82092;2022-08-03T05:20:56;16708;2022-08-03T08:43:57
2;8b9ce1af-a2c6-471d-80f5-82b81206e510;Table_Single;Assimilated executive;Massachusetts Borders;17003;2022-08-02T16:00:39;52951;2022-08-02T14:11:17
3;087bf1b8-d594-4560-a9bb-0ac3dba32513;Bucket;New Optimization;envisioneer monitor Small;15449;2022-08-02T10:43:52;56909;2022-08-02T17:59:48
4;d77858d5-cd54-4e0c-a7dc-14ccbef9a69e;Table;orchid;Forward Down-sized SQL;50730;2022-08-03T07:24:06;59010;2022-08-02T13:24:10
5;c354c84a-cdd5-4341-a18e-aed7d8febbf1;Table;FTP bandwidth THX;embrace system;46827;2022-08-02T08:54:05;42033;2022-08-02T22:05:06
6;1fbeb2e1-f20a-4306-965a-9da9035ea464;Ebb;Unit;card Rubber;91118;2022-08-02T17:22:32;8214;2022-08-02T13:09:20
7;6c85e28f-6d04-44bd-9d9b-13677317e0c0;Bucket;Advanced;invoice Front-line Personal;8888;2022-08-02T16:53:39;38160;2022-08-03T00:22:51
8;d5bd3ad7-7a3d-4122-beec-f9d17027a57d;Flow;Cambridgeshire Tasty red;Account International;78218;2022-08-02T12:11:42;82769;2022-08-02T12:04:13
9;bd95e3d9-32d9-4263-8380-12633aa542f7;Table;JSON ivory silver;array Diverse;83606;2022-08-02T18:45:39;68693;2022-08-03T08:13:43
10;1bdf71da-802a-45d0-ad9d-8605538897f3;Table;Computers Tools enable;product;95468;2022-08-02T15:45:00;50053;2022-08-02T20:04:45
