id;g_uid;harvesting_date;created_by;created_on;updated_by;updated_on
1;bc4dfbe0-8331-4326-ba2f-333faf76cfda;2022-08-02T20:30:00;97500;2022-08-03T07:40:22;59076;2022-08-02T11:01:02
2;eac54a2f-e2b8-46a4-8bd6-e2836b0cee57;2022-08-03T04:28:20;39714;2022-08-02T13:50:09;67460;2022-08-02T09:56:22
3;e0b45f12-3fdc-40ca-a7f6-73ba197b889c;2022-08-02T11:38:11;3096;2022-08-02T18:25:41;49303;2022-08-02T18:05:32
4;7bd64f72-49b2-4158-be5e-1e3b2e9ecbe5;2022-08-02T11:50:55;57666;2022-08-02T18:39:20;99158;2022-08-03T03:16:51
5;4319b557-2e35-4aa5-96b3-505a1a726e13;2022-08-02T14:29:04;52996;2022-08-02T20:20:19;53070;2022-08-02T12:27:05
6;2bd1b610-a2e0-4371-ab68-2c904659a5d9;2022-08-02T09:30:27;37440;2022-08-02T14:43:34;33150;2022-08-02T21:32:03
7;66ccf68b-7a95-44a3-a167-998edd04fc8f;2022-08-02T23:39:18;85843;2022-08-03T05:37:48;83921;2022-08-02T10:34:18
8;e615e5a9-2d73-45c8-ba85-d75aff04cd51;2022-08-02T17:41:55;94106;2022-08-02T14:53:37;48608;2022-08-02T17:54:33
9;8759d8d2-c21e-478c-8944-88c7fb49d75b;2022-08-02T12:33:07;89235;2022-08-02T17:19:16;42705;2022-08-02T13:31:45
10;753a8487-5a4a-447d-b887-0fba7686bfef;2022-08-03T01:18:15;64381;2022-08-02T18:12:29;85312;2022-08-02T16:52:02
