id;g_uid;inspection_size;shape;wholeness;gloss;consistency;defects;colour;texture;aroma;flavour;nutritional_value;nutritional_value_type;created_by;created_on;updated_by;updated_on
1;7539742b-1eb1-4d2b-af4a-b6303eb4b84d;96408;41898;97537;25855;4081;Spots;Tasty indigo Chief;Soft;Fruitness;Salty;90606;Polyphenolics;87636;2022-08-02T20:24:24;3226;2022-08-02T12:17:04
2;a161b68f-fe5c-4c81-8377-307236cffc98;36568;20678;71760;81311;76985;Bruises;synthesizing invoice;Crispy;Sweetness;Sour;54161;Polyphenolics;42221;2022-08-02T19:19:10;2647;2022-08-02T14:27:18
3;e94b7800-ca74-472b-9bf7-ec7e0029b069;78979;42755;25535;65903;94298;Spots;ability HTTP;Fibrous;Sweetness;Sweet;67628;Polyphenolics;24728;2022-08-02T12:37:12;24299;2022-08-02T21:46:51
4;54b352d4-e9ef-4fa1-925e-bee4691b6cfc;63818;10075;753;76146;33771;Spots;program Rustic Analyst;Smooth;Fruitness;Salty;76139;Polyphenolics;97224;2022-08-02T16:21:01;9678;2022-08-02T18:29:57
5;c8bfe1b3-8102-4fdf-b116-acc242c8d7a6;14889;43587;30135;73547;47198;Extraneous_matter;Decentralized HDD Cross-platform;Firm;Fruitness;Sour;3053;B;55994;2022-08-03T03:00:52;45540;2022-08-03T07:42:18
6;b1b0d5eb-3b4b-4b5a-9027-bf25abbac880;10312;80178;41144;68797;18344;Bruises;5th;Lumpy;Ripeness;Sweet;40389;Polyphenolics;1510;2022-08-02T18:13:33;7236;2022-08-02T20:05:27
7;096f6ef5-6ed6-481f-a7e2-9082184f91a9;29923;34499;85113;36274;55196;Spots;parse;Soft;Ripeness;Bitter;59946;Glucosinolates;91738;2022-08-03T02:22:29;65060;2022-08-02T15:28:53
8;6bdea1b4-45cb-4a17-b692-46e91e9090da;19831;98738;81644;52879;32377;Extraneous_matter;Louisiana Japan optimizing;Mealiness;Ripeness;Bitter;44523;Vitamin;52101;2022-08-02T19:00:43;24784;2022-08-02T10:38:21
9;5f597e16-479d-461b-8642-ed863a7a80fd;38894;50065;32978;40335;2232;Blemishes;Nevada Officer;Succulence;Fruitness;Salty;7833;A;27035;2022-08-02T16:09:01;88127;2022-08-03T06:21:01
10;540a81da-0932-447e-8d80-74f251d39388;67782;86439;67498;94839;64359;Bruises;Avon;Firm;Ripeness;Sweet;69462;Glucosinolates;50707;2022-08-02T14:21:52;91420;2022-08-02T09:58:52
