id;g_uid;raw_material_batch_no;product_batch_no;raw_material_batch_code;input_batch_no;input_batch_code;attachments;attachments_content_type;created_by;created_on;updated_by;updated_on
1;cdd18e76-317e-41bd-9592-e48bcc39cafb;15939;14866;51797;57631;9201;../fake-data/blob/hipster.png;image/png;29772;2022-08-02T23:02:49;95991;2022-08-02T21:15:37
2;262cfad4-639c-46b7-9574-b761bbbca5d6;69679;49876;55767;16665;19564;../fake-data/blob/hipster.png;image/png;18261;2022-08-02T09:44:31;467;2022-08-03T07:38:06
3;027f8b85-5206-4c69-baa5-ce6d34d03ad0;24330;45159;2102;9254;29993;../fake-data/blob/hipster.png;image/png;82367;2022-08-03T00:17:50;18495;2022-08-02T13:38:26
4;de45bf91-a479-4398-a395-6c533baae4d9;55434;46313;45179;31043;69331;../fake-data/blob/hipster.png;image/png;99202;2022-08-02T16:56:39;63152;2022-08-02T21:20:36
5;bdb9e851-c4b2-464e-8264-d2993e2be773;71180;87715;56126;94877;21903;../fake-data/blob/hipster.png;image/png;48829;2022-08-02T08:56:36;29746;2022-08-02T16:22:15
6;032f79ad-8dcf-4b4b-aaf1-36883d8b9d6a;62968;91550;22493;26245;48232;../fake-data/blob/hipster.png;image/png;3620;2022-08-02T21:23:31;66416;2022-08-02T20:32:22
7;75b3517a-5a39-4b92-8cf5-d491c1b9113c;64776;89627;79532;6598;96335;../fake-data/blob/hipster.png;image/png;31683;2022-08-03T06:19:44;91174;2022-08-02T19:52:57
8;2eac39bd-b714-4588-b499-9970cb74ee12;86045;46830;61124;59126;53014;../fake-data/blob/hipster.png;image/png;83403;2022-08-03T00:00:49;93484;2022-08-02T18:01:19
9;38b8ba81-c2e0-4b14-8bca-dbc5794d5ae8;77120;74100;65998;73342;48867;../fake-data/blob/hipster.png;image/png;57097;2022-08-02T20:36:49;63430;2022-08-02T21:54:16
10;ac41798c-6961-4755-b67e-443342309a67;54923;82810;87568;46284;16134;../fake-data/blob/hipster.png;image/png;377;2022-08-03T06:27:25;19132;2022-08-02T15:10:56
