id;g_uid;source;nutrient_level;solar_radiation;inlet_flow;outlet_flow;created_by;created_on;updated_by;updated_on
1;542a6ee6-1ffb-4a78-b254-524844f6797f;Manual;40131;82150;43339;73201;37443;2022-08-02T10:42:22;43066;2022-08-03T05:52:43
2;a6d4660f-4d13-4f76-bd28-6abf383e7f56;Manual;28306;82711;30205;86024;96405;2022-08-02T20:57:47;56896;2022-08-02T19:50:51
3;f05f8b05-a4e7-4e6c-9239-66d083580115;Manual;50415;68449;36878;71129;15271;2022-08-02T13:13:19;68610;2022-08-02T09:52:37
4;0773f58e-ba1e-4cf7-a8aa-56198709a1de;Manual;23902;56432;27561;14143;90935;2022-08-03T01:13:52;23097;2022-08-03T00:22:46
5;76402ca1-108b-45b8-a827-18ff1d6cea35;Automatic;38916;16523;73626;59406;14925;2022-08-02T16:36:28;31044;2022-08-02T11:56:07
6;98e97165-e25f-446d-9164-fe9f5c20fcb5;Automatic;54935;59225;39550;11350;94979;2022-08-03T07:06:25;42221;2022-08-02T13:33:39
7;69b0f698-4f6e-4f65-988f-53d27f3bee86;Manual;66473;90238;3315;41316;86191;2022-08-02T22:36:50;71144;2022-08-03T01:54:08
8;cec27f0e-7cdc-42c3-91b8-1091f3a877a7;Manual;74982;47448;9061;72471;99162;2022-08-02T11:56:21;50628;2022-08-02T11:12:26
9;1283c09b-52bb-419c-9219-e8b064b7eb0e;Manual;54305;3678;45962;85973;74797;2022-08-03T01:40:38;57502;2022-08-02T15:33:55
10;713e997d-03cf-40b5-af0d-536c4725ddc0;Manual;90851;31769;57939;21256;42106;2022-08-02T09:58:55;36681;2022-08-03T05:40:58
