id;g_uid;source;light_intensity;daily_light_integral;p_ar;p_pfd;created_by;created_on;updated_by;updated_on
1;4c04a442-26a3-48ea-9877-c7c5eb3808ea;Automatic;84549;1193;53244;16623;24580;2022-08-03T05:29:25;26185;2022-08-02T17:38:35
2;2f77664b-6391-44c3-8bb7-8316e0eae253;Automatic;62473;38215;30968;72353;22519;2022-08-03T05:58:50;55173;2022-08-03T04:15:59
3;d43eb59f-c5d3-4c64-936c-19284ec9ab4f;Manual;75848;82882;6012;81440;67337;2022-08-03T03:41:15;61007;2022-08-02T18:33:25
4;45f6e4f0-cd98-40c5-9e00-00753d69ed69;Manual;14265;62011;86038;60695;8237;2022-08-03T02:57:48;66727;2022-08-03T01:27:33
5;2a6aa8ef-ada9-4eb7-bc88-433d54cd5e19;Manual;94901;2536;15469;2074;27880;2022-08-03T01:30:46;95001;2022-08-03T02:26:17
6;65bd69b5-8343-4713-b7c9-f5649db44f0e;Automatic;45809;28206;83777;54526;12360;2022-08-02T16:44:35;88666;2022-08-03T07:59:45
7;b80b465b-1c43-40e6-b8f5-3569ced288b8;Automatic;20420;81598;6175;69608;93126;2022-08-02T10:33:59;41845;2022-08-02T15:08:10
8;bb7bbd2e-0dec-45b8-b9ea-b8a8c4e35156;Automatic;24763;28033;2919;1966;71417;2022-08-02T13:47:59;67277;2022-08-02T16:44:08
9;dfca0ad8-0d21-49f4-b4c9-2c37e7f09304;Manual;22708;98965;89895;39848;32036;2022-08-02T10:42:50;85233;2022-08-03T03:24:35
10;8c71987a-60be-4175-aec3-21629ab93a18;Manual;31488;82761;47087;49192;29150;2022-08-02T22:34:03;84814;2022-08-02T16:28:47
