id;g_uid;lot_code;lot_qr_code;lot_qr_code_content_type;lot_size;unit_type;seedlings_germinated;seedlings_died;plants_wasted;trays_sown;sowing_time;trays_tranplanted;transplantation_time;plants_harvested;harvest_time;packing_date;tranportation_date;created_by;created_on;updated_by;updated_on
1;bcdc203f-dc3a-4ac3-8212-67bddc8697e5;Games Account;../fake-data/blob/hipster.png;image/png;45717;Cells;16570;86504;76488;5360;Weekly;50179;Daily;52402;Monthly;2022-08-02T21:20:43;2022-08-02T18:30:32;791;2022-08-02T23:34:49;82832;2022-08-02T21:11:25
2;900bed59-c222-48f7-939c-69ca1b9586d0;unleash access;../fake-data/blob/hipster.png;image/png;69942;Cavities;77395;32472;47479;47385;Daily;36426;Daily;72009;Daily;2022-08-02T18:16:14;2022-08-02T15:14:05;14094;2022-08-02T12:34:52;80507;2022-08-02T21:30:19
3;77ea2e3e-a6d2-4d2e-8dc3-fa8078ced187;Rustic online impactful;../fake-data/blob/hipster.png;image/png;85796;Cavities;27223;96780;25165;76335;Monthly;89207;Daily;60979;Weekly;2022-08-03T02:25:34;2022-08-02T23:58:07;19187;2022-08-03T04:48:20;71090;2022-08-02T19:03:00
4;1468bf98-0ab6-403e-ae4d-df6a6b5664c9;Berkshire maroon Metal;../fake-data/blob/hipster.png;image/png;10918;Cavities;47833;42640;49783;90564;Weekly;27414;Yearly;19098;Daily;2022-08-03T01:35:17;2022-08-03T03:04:00;88367;2022-08-02T09:07:25;57257;2022-08-02T10:02:48
5;3b2c1e32-d9f8-4c8b-989a-59db7fe0d395;Internal Litas;../fake-data/blob/hipster.png;image/png;80388;Cavities;34763;74905;26452;75212;Daily;13488;Yearly;28133;Daily;2022-08-02T09:14:06;2022-08-03T06:49:44;4997;2022-08-02T15:02:10;27369;2022-08-03T05:56:24
6;fff28202-bac8-489d-91a1-308cb326a7cd;Sharable;../fake-data/blob/hipster.png;image/png;49842;Cavities;79719;61570;41109;35108;Daily;49363;Weekly;70581;Daily;2022-08-02T21:12:31;2022-08-03T00:14:18;89453;2022-08-02T17:56:41;36692;2022-08-02T23:17:19
7;ae33c024-1648-4cbd-8c2e-bbe729a64ec8;Sports;../fake-data/blob/hipster.png;image/png;53065;Cells;99763;7521;48083;67316;Daily;95059;Weekly;72020;Daily;2022-08-02T19:45:04;2022-08-03T05:55:59;51192;2022-08-02T10:55:28;91659;2022-08-02T21:36:02
8;92895884-ce36-41a7-877f-cc70c4e1a9bd;interfaces Tasty;../fake-data/blob/hipster.png;image/png;42875;Cavities;3673;93707;87002;30654;Daily;62928;Monthly;64624;Yearly;2022-08-03T02:34:30;2022-08-02T17:12:30;9104;2022-08-03T05:28:16;9297;2022-08-02T14:39:51
9;e368a49f-b21b-480b-9097-eb792aeb5dab;Islands;../fake-data/blob/hipster.png;image/png;63882;Cells;26944;48501;26965;47368;Weekly;63303;Weekly;47126;Monthly;2022-08-02T16:45:08;2022-08-02T20:06:46;5747;2022-08-02T21:54:24;11262;2022-08-03T04:14:15
10;e1fb309c-2c06-4a66-97a3-a99621a1aa91;application;../fake-data/blob/hipster.png;image/png;1847;Cavities;56250;96261;27809;79119;Daily;89068;Monthly;87713;Monthly;2022-08-02T19:28:29;2022-08-02T20:00:51;58360;2022-08-02T20:09:08;46580;2022-08-03T04:59:41
