id;g_uid;nutrient_name;type;brand_name;nutrient_label;nutrient_forms;nutrient_type_id;price;created_by;created_on;updated_by;updated_on
1;86b0010d-3183-4f38-a075-1d890c022935;Architect;Organic;Jewelery;30653;Or;Mineral;3767;83667;2022-08-02T22:08:44;47190;2022-08-02T21:05:29
2;0a38b5df-227c-4bca-8d40-c205e009488a;green Avon;Organic;circuit;23410;Or;Mineral;57518;33371;2022-08-03T02:35:08;42163;2022-08-02T18:41:45
3;15ae48cf-c128-43fa-b5a9-fe1e65a7c486;systemic;Organic;Creative Functionality bandwidth;43266;Fertilizers;Organic;36778;99344;2022-08-02T12:14:20;95378;2022-08-02T13:48:23
4;e2aa86cc-9d17-4ddb-a4c6-cb249042d4e0;Car relationships;Organic;quantify;96019;Granular;Mineral;74215;53871;2022-08-02T14:36:40;26293;2022-08-02T23:00:58
5;de831164-0bbd-4d49-bea5-c4d9515a23ae;Clothing;Synthetic;Direct Movies Functionality;87147;Solid;Fertilizers;7482;26234;2022-08-03T02:13:22;5512;2022-08-03T00:48:51
6;503d02f9-cd85-456a-bb01-cb3cb5942767;Fresh partnerships invoice;Synthetic;Beauty;84878;Liquid;Inorganic;41283;79821;2022-08-02T20:58:43;46450;2022-08-02T20:22:43
7;f5840989-a7c2-463a-816b-027e3ee255ac;navigating Shoes Object-based;Synthetic;Street Practical vortals;38520;Or;Fertilizers;49526;9357;2022-08-02T11:53:00;14460;2022-08-02T18:23:53
8;3f807fd6-8eb5-46b7-9e8f-94ca84cc54f6;cohesive;Organic;Account Planner;67898;Granular;Inorganic;69484;94697;2022-08-02T23:08:16;52846;2022-08-02T09:13:01
9;07ccf777-c41a-4a91-b71f-4db01db3f278;generate;Synthetic;Plastic Factors;92971;Granular;Organic;98535;9396;2022-08-03T04:48:27;63243;2022-08-03T08:40:35
10;3393d588-6a93-45f4-86e1-4c2d76203b45;open-source calculating 1080p;Organic;TCP;67789;Solid;Organic;23906;42527;2022-08-02T23:38:23;86492;2022-08-02T13:58:16
