id;g_uid;party_name;status_id;description;external_id;created_by;created_on;updated_by;updated_on
1;9969bf9f-8829-43bd-9b1f-898c64e914d0;Chief Fish pink;false;TCP;97957;62727;2022-08-03T08:07:10;47638;2022-08-02T22:24:42
2;cb3a366c-39aa-4c43-8f4e-67711cd619ca;compressing;true;Avon Louisiana;22519;1972;2022-08-03T02:36:33;42872;2022-08-03T06:53:56
3;d9de5977-6529-44c1-90a4-97081325615e;Micronesia intuitive mindshare;true;Plastic Mauritius;15449;46178;2022-08-03T00:04:33;9097;2022-08-02T15:33:32
4;cf97a75a-a140-4ccf-8a60-f2e7d2482f33;Dinar Hat Ridges;true;analyzer;93153;34494;2022-08-02T15:51:28;87145;2022-08-02T15:26:50
5;d26d17a2-a187-4b15-860c-97eb2ae44c24;Customer;false;payment;55788;75250;2022-08-02T11:00:26;33467;2022-08-02T14:11:16
6;c3c7412d-64d8-4822-98c8-d29b26a3441b;SMTP time-frame extranet;false;Consultant portal Wooden;10224;66736;2022-08-02T11:25:06;48442;2022-08-02T18:19:24
7;fe65fbd6-2410-4964-a231-3ef9754c104e;next;true;Dinar;11397;2294;2022-08-02T20:57:48;57995;2022-08-02T09:00:56
8;3ddb25b1-f06c-4d2b-ad6d-439f7f5fa9cd;Pizza;true;Account;59819;39153;2022-08-02T18:26:55;58540;2022-08-02T20:11:33
9;974720dd-9161-4934-8bb3-2be9f4b13856;Ohio;false;SDD;7816;92800;2022-08-02T23:25:45;76620;2022-08-02T17:39:43
10;a35c498f-b6bf-4e9a-bd8f-6bf11ef68b0c;quantifying technologies;true;Applications 1080p invoice;82689;2044;2022-08-02T18:54:26;23413;2022-08-03T08:21:04
