id;g_uid;attribute_name;attribute_value;created_by;created_on;updated_by;updated_on
1;79147928-66dd-4292-b891-edb3c88fea73;National cross-platform transform;13288;80021;2022-08-03T02:13:46;13340;2022-08-03T01:41:30
2;056a8f45-a250-40d0-8df3-28b968abebe9;Direct Bacon Web;33421;61404;2022-08-03T01:32:08;35269;2022-08-02T23:38:42
3;b519cd28-61d7-47dd-91ef-138e98a6f4e8;JSON Director;22044;72972;2022-08-02T23:47:11;80913;2022-08-02T19:15:29
4;0b390711-f37b-41c9-b500-3d545aa061cf;Liaison;74184;28432;2022-08-03T02:04:17;10152;2022-08-02T22:10:59
5;5345aec2-9024-4184-b275-0160e5670989;Shoes AI;54441;94533;2022-08-03T07:31:40;83369;2022-08-02T12:14:59
6;5ab4e290-28eb-4396-b044-f1f56cbc2f42;Music deliver Handcrafted;18348;85175;2022-08-03T02:44:47;4971;2022-08-02T18:27:02
7;f8810b80-28a1-4869-94c3-544fe994ca31;encoding Carolina;68653;64216;2022-08-02T23:35:31;94516;2022-08-03T00:27:32
8;bf7875e8-cff6-46ce-8de8-19fb659ccfbc;virtual Concrete web-enabled;78487;4078;2022-08-03T07:02:05;13832;2022-08-02T16:07:40
9;133d5d66-377f-4155-a5fd-fb8c86bee3ab;methodologies;89554;21125;2022-08-02T09:38:16;40074;2022-08-02T15:45:31
10;c604a30b-1609-42fd-990f-3b19ebbea5b4;National;99633;70536;2022-08-02T23:42:27;10841;2022-08-02T21:20:34
