id;g_uid;from_date;thru_date;created_by;created_on;updated_by;updated_on
1;b30f4624-3c65-4527-aeff-8eb3d68a1eaf;2022-08-02T15:14:54;2022-08-02T14:34:07;52147;2022-08-03T02:20:39;34608;2022-08-03T00:00:58
2;0dc9d9b2-f103-47e9-9acc-320f324d8527;2022-08-02T22:53:27;2022-08-03T04:49:46;68998;2022-08-03T07:39:27;61772;2022-08-03T00:13:01
3;c0b00c92-be3a-4a67-a495-d161d3bcfe19;2022-08-02T10:35:06;2022-08-02T14:38:47;41843;2022-08-02T20:36:06;23863;2022-08-02T22:36:30
4;afc0e276-b699-441b-b15f-eb72998162bf;2022-08-03T06:19:00;2022-08-03T04:02:50;25243;2022-08-02T12:23:06;37376;2022-08-03T05:59:35
5;bd6009c8-23f6-40bd-8cc5-087023aefde8;2022-08-02T23:13:30;2022-08-03T03:07:52;21198;2022-08-02T11:48:32;67112;2022-08-02T22:11:30
6;e9e08b23-6b71-4318-a510-21980aef3d91;2022-08-02T14:57:18;2022-08-03T07:16:10;97087;2022-08-03T06:43:56;17319;2022-08-02T21:28:57
7;f70362ec-9ece-45f8-b4c1-874335cc1037;2022-08-03T03:15:18;2022-08-03T06:14:59;55686;2022-08-03T04:00:34;39365;2022-08-03T08:29:21
8;cce472b9-b496-4be1-8556-fccb139c3742;2022-08-03T03:49:46;2022-08-02T09:21:51;52651;2022-08-02T20:41:12;33810;2022-08-03T03:30:09
9;b83c0bbe-6e28-42ad-8324-5b76eb21f2ca;2022-08-02T11:11:03;2022-08-02T22:25:32;85576;2022-08-02T08:52:56;5300;2022-08-03T03:16:53
10;b3aaa7b8-868f-4a8d-9a83-bd6e8624f0d7;2022-08-02T10:13:21;2022-08-03T07:42:42;21669;2022-08-03T04:16:23;53554;2022-08-02T13:03:46
