id;g_uid;note_id;created_by;created_on;updated_by;updated_on
1;398b6b40-0ede-4d77-afdd-13d773f08547;7629;34675;2022-08-03T02:16:46;70546;2022-08-02T20:24:01
2;54e15e9e-dd12-4d4d-8462-7f87dd484848;13131;69200;2022-08-02T21:52:45;43458;2022-08-02T14:50:11
3;179431a1-9889-471f-a2c6-6ab1d21e065c;21707;79077;2022-08-02T08:55:27;62628;2022-08-02T13:25:16
4;05478d61-2597-4196-815f-03a0de7d43b9;7332;11138;2022-08-02T17:18:15;85724;2022-08-02T09:11:05
5;0e37eb15-6e2d-4608-ab36-a4e2598f57bc;88527;45602;2022-08-02T18:25:51;81444;2022-08-03T07:10:40
6;305ae0cf-5a6a-43ac-ac26-99fbaaa65968;60481;78923;2022-08-02T12:51:27;28546;2022-08-02T15:55:51
7;7133e050-e162-4d7b-b0bc-b71be9dea21e;34959;9044;2022-08-03T05:54:47;66050;2022-08-03T05:46:26
8;aa187345-4dc9-42c7-b108-a9e97d90359d;32938;69642;2022-08-02T20:57:03;31035;2022-08-02T10:33:47
9;c56da8ef-7398-4309-93e4-d262b3735ec6;99242;5198;2022-08-02T09:31:07;84615;2022-08-02T21:08:01
10;d6ffc6a3-bed8-4991-b60f-db8eba1af8d8;78103;76874;2022-08-02T18:09:46;5886;2022-08-03T00:33:24
