id;g_uid;has_table;party_relationship_name;description;role_type_id_valid_from;role_type_id_valid_to;created_by;created_on;updated_by;updated_on
1;805;false;Kansas;Soft;29173;98422;95712;2022-08-02T22:58:17;29055;2022-08-03T07:05:28
2;62226;false;Tugrik Response;Sleek Licensed;76344;55378;38542;2022-08-02T13:55:45;40787;2022-08-03T08:50:44
3;85604;false;Marketing;Group Ergonomic;81914;29421;55811;2022-08-03T05:52:17;25181;2022-08-02T10:53:41
4;19145;false;Mexico;Concrete;82836;47885;78776;2022-08-03T01:51:27;55597;2022-08-02T15:26:56
5;6966;true;hard Kentucky;Kentucky;71376;83892;68239;2022-08-03T06:43:09;51358;2022-08-02T11:45:59
6;79902;true;plug-and-play;Metal District gold;50289;71553;68437;2022-08-02T22:47:21;48208;2022-08-03T01:06:58
7;96796;false;Electronics primary;solution Berkshire Investment;229;25378;12538;2022-08-02T14:17:28;97544;2022-08-02T21:10:58
8;93083;true;Lithuanian Steel granular;incubate parse;86281;78046;17548;2022-08-03T05:39:46;53835;2022-08-02T12:52:54
9;90010;false;killer interface Seamless;Forges;71397;98558;70862;2022-08-03T05:20:35;57162;2022-08-02T18:21:23
10;80236;true;systems Ngultrum;Steel;41370;67603;13614;2022-08-02T20:38:46;40524;2022-08-02T09:23:40
