id;g_uid;from_agreement;to_agreement;from_communication_event;to_communication_event;party_id_from;party_id_to;created_by;created_on;updated_by;updated_on
1;6f04110b-ef2e-41e2-9e9a-dfeecb1adc0b;Avon;COM Bulgarian Virginia;Chief;Director;92518;91249;37157;2022-08-02T16:52:19;86965;2022-08-03T00:46:42
2;9730c087-2e10-42d5-8cbf-ca2608f8377f;compress Incredible grid-enabled;Licensed Keyboard Cotton;North Toys Keyboard;one-to-one incubate;80126;44242;70376;2022-08-02T13:38:53;32512;2022-08-02T18:41:41
3;8bdbcbea-8bd1-4e4b-aa0e-9463d7d8f806;transmitting;edge;Supervisor Division;mesh green hub;61792;90623;27563;2022-08-02T19:56:44;33614;2022-08-02T20:28:25
4;78df50f2-4552-41a9-9e42-d0f5bc1ebe93;Automotive task-force Austria;Architect orchid Extensions;Bedfordshire SMTP deposit;solutions Oklahoma Crest;2678;14191;28847;2022-08-02T20:12:03;33795;2022-08-02T22:36:31
5;77cf5b88-b1c5-4dfe-8c07-dd5c45bcc822;Russian Ergonomic Cambridgeshire;motivating;Rubber Plastic;salmon SSL North;10740;28707;75414;2022-08-02T14:01:44;47919;2022-08-02T09:53:38
6;7964fa83-e0cd-45da-902a-bd00202901cb;Account utilize Dynamic;Industrial Granite cyan;ROI Account;turquoise;58809;97967;24865;2022-08-03T05:10:40;57626;2022-08-02T18:00:01
7;f764ff52-05dd-4e18-a54b-fa80b5a892b5;cultivate;Automated Shoals;Vision-oriented;firewall viral;73048;74120;23930;2022-08-03T01:27:46;78595;2022-08-03T01:52:15
8;49766161-45e0-4287-818f-c5315168b322;Factors Avon;e-business Chief transition;productivity Human;bluetooth;30504;90652;83810;2022-08-02T23:03:26;47129;2022-08-03T04:09:47
9;f33d8b24-1d8c-4d2b-a7a0-d0468eb721fa;Mills composite Outdoors;Small Usability;challenge Card;wireless Shoes Jewelery;68990;15685;48011;2022-08-02T16:26:49;48695;2022-08-02T13:11:08
10;c3f054fe-35ca-46ee-81ec-eb9696f37865;HTTP pixel;COM;parse info-mediaries;Dinar Sleek Rest;3956;90601;17605;2022-08-02T20:27:22;45516;2022-08-03T06:12:53
