id;g_uid;status_date;created_by;created_on;updated_by;updated_on
1;fb82fb6f-0e9e-41e8-9713-5ab0c092f359;2022-08-02T22:16:40;42594;2022-08-02T21:14:07;78066;2022-08-02T22:40:33
2;62a109a5-3867-43ae-b646-f433f81b2d3d;2022-08-03T02:33:27;43438;2022-08-02T14:36:31;59398;2022-08-03T03:28:19
3;2c52b308-8348-4aa7-87ec-791267def4b7;2022-08-03T05:03:28;64253;2022-08-03T03:05:08;51587;2022-08-03T01:26:01
4;335b6136-65d6-46ff-a679-c998f9d36683;2022-08-02T18:48:18;73982;2022-08-02T13:03:27;86161;2022-08-03T03:03:04
5;a7cffc16-1167-4a9d-ad3a-e65c903a192c;2022-08-03T04:17:43;60196;2022-08-03T00:35:10;26988;2022-08-02T12:19:49
6;d7e151be-c3da-455e-b9b7-d835612ed9bb;2022-08-02T19:03:08;79131;2022-08-02T21:22:15;9256;2022-08-02T11:34:37
7;9f628b51-9bc6-4b7f-9ce2-7718532096a7;2022-08-02T22:09:38;69333;2022-08-03T06:52:40;48314;2022-08-02T10:07:38
8;d2678689-8f4a-46ac-9473-81813c6b7607;2022-08-03T01:34:48;81431;2022-08-03T00:32:44;94067;2022-08-03T03:20:04
9;aac6a1b6-3873-4a93-a1b2-cbdcab985c76;2022-08-02T14:21:21;85460;2022-08-02T23:16:14;97438;2022-08-03T01:24:46
10;5945204f-80c9-4acf-a018-7ad29dd4e3cc;2022-08-03T08:06:49;86357;2022-08-02T19:57:38;5231;2022-08-02T09:26:47
