id;g_uid;status_code;sequence_id;description;created_by;created_on;updated_by;updated_on
1;51adfbc9-b086-43cf-a035-47e1d6d27ae9;45609;40622;Assistant Operations Bedfordshire;99313;2022-08-02T22:25:46;52410;2022-08-03T04:57:54
2;abf8bc56-1126-4748-a59b-9beb3f0a7e33;23936;53693;SQL Mobility program;98671;2022-08-03T04:16:02;7378;2022-08-02T12:02:46
3;a10969bc-5bda-4550-be35-781ebe220277;28266;17083;Georgia mindshare;17749;2022-08-02T22:44:46;93547;2022-08-03T00:46:51
4;4173851c-5104-4308-a383-3948b56d30d4;60759;47913;holistic;3165;2022-08-03T05:10:14;63479;2022-08-03T01:59:08
5;c0f43aa0-57b8-4f69-be69-dc98b367be4c;60741;52046;azure Account maximize;36871;2022-08-02T10:16:58;99325;2022-08-02T13:14:41
6;6749d211-ebf5-47ef-867d-ced83b8f74f0;38854;65827;logistical;64897;2022-08-02T21:10:31;8215;2022-08-02T12:35:44
7;1863146b-af3f-4cf0-ab16-3619d556240a;63911;27114;capacitor Avon;2009;2022-08-03T00:16:32;54018;2022-08-02T19:11:58
8;5291a43f-7078-4a04-acdc-f8c2240275a6;48407;55477;Focused Corporate;58719;2022-08-02T13:22:39;14192;2022-08-02T19:17:34
9;aa97b9ee-4a69-4a50-a052-a5a5ad8f519f;89004;58859;Small;12844;2022-08-02T14:20:30;62990;2022-08-02T11:21:28
10;1d95eb89-2a6c-4ee3-a7bc-d7dd1c05b0c4;2904;23137;Qatar Uganda;45890;2022-08-02T20:21:24;76802;2022-08-03T04:30:50
