id;g_uid;parent_type_id;has_table;description;child_status_type;created_by;created_on;updated_by;updated_on
1;0d3bd38e-15ed-4202-b428-9ecde54eb0f4;87710;true;eco-centric;100;45676;2022-08-03T00:51:15;90083;2022-08-02T13:58:13
2;9faf4a08-ac09-4dc0-8b70-d84eebcf88c6;90798;true;generation;83392;92455;2022-08-02T12:38:38;96807;2022-08-02T17:26:24
3;eeba37b6-7b9a-4886-bdad-93184b258050;88647;true;circuit distributed out-of-the-box;58866;47266;2022-08-02T22:28:23;34018;2022-08-03T00:06:12
4;6a355966-8b7a-45c3-883a-c329cb0424a8;8458;false;Multi-layered Manager;91704;69511;2022-08-03T03:46:24;43863;2022-08-02T16:30:07
5;4d7fbd7e-5403-4dc3-977b-effaa709b10a;81913;true;AGP olive;38193;90775;2022-08-03T08:39:05;42662;2022-08-02T18:40:23
6;e91c0b83-d9ff-4fae-9602-ad7ff18e3d2d;11040;true;Electronics;41424;32171;2022-08-02T13:09:20;25480;2022-08-03T05:05:49
7;084720a1-b888-4530-8294-b4c3d30d3c58;33291;true;Paradigm Incredible;76699;50006;2022-08-03T08:06:24;27959;2022-08-03T04:11:48
8;bfc844ae-abcf-4aa6-93de-d41bb591e0db;12662;false;driver compress Small;90312;88285;2022-08-02T10:01:10;7459;2022-08-02T11:28:44
9;cc13c1d7-dea2-4100-90fe-20b7f3d5b1ea;14614;true;Kansas Fantastic zero;66902;62228;2022-08-02T19:51:23;6986;2022-08-02T17:42:10
10;c99943b3-8f81-4c3a-8938-40fad48f88df;30030;false;e-enable Summit;62304;11687;2022-08-02T21:46:45;20290;2022-08-03T03:54:06
