id;g_uid;parent_type_id;has_table;description;party_type_attr;created_by;created_on;updated_by;updated_on
1;ba0bf4c2-23d4-41c9-95af-bfacbf8f8da8;Organization;envisioneer;haptic;collaboration eyeballs Steel;94780;2022-08-02T17:38:23;84439;2022-08-02T10:26:05
2;308d8753-5b14-44d7-93f9-b3303c8a70e4;Legal;open-source alarm;Barbados;yellow;58220;2022-08-02T21:21:50;36061;2022-08-03T04:14:27
3;9a7a264e-d6bd-4da1-bfa3-8d875e03148c;Party;Planner Liaison;Berkshire;Unbranded program;96948;2022-08-03T01:54:21;85451;2022-08-02T18:59:44
4;4e3909cf-aff6-4fc1-bcba-d9ba5a338dc5;Agent;auxiliary;Cotton Group Account;Sports navigating;19646;2022-08-02T15:48:29;44039;2022-08-03T02:28:43
5;f3e9a238-e452-41ba-9130-90d95d3f6804;Team;Account architectures synthesize;Supervisor Investor Spain;haptic;68714;2022-08-02T14:05:19;40438;2022-08-03T01:30:08
6;2113fca2-4cac-4c21-a8b3-2c77d4d5240d;Family;disintermediate logistical;generate;Dynamic Accounts;96333;2022-08-02T14:47:11;86;2022-08-02T21:06:30
7;126342bd-1c9b-48ea-a0bc-82eaaa6e8d3a;Automated;Qatar Principal;Herzegovina;e-business;36730;2022-08-02T15:14:25;93338;2022-08-03T03:26:51
8;57e031b6-858f-4013-8475-ba0d4c7b2d34;Group;Shoes Concrete Carolina;Maryland;Direct hub Licensed;97072;2022-08-02T09:59:30;75775;2022-08-03T03:42:16
9;57c7a124-0476-4b91-94d5-664783fdf3ee;Organization;dot-com;throughput Unbranded;Granite Metal;54970;2022-08-02T15:09:20;21788;2022-08-03T03:12:19
10;f76bb8f6-84af-413a-822d-9f886cf5a808;Organization;protocol;Berkshire Cotton auxiliary;disintermediate Books Iowa;94341;2022-08-03T05:58:02;79487;2022-08-03T02:48:59
