id;g_uid;threat_level;name;scientific_name;attachements;created_by;created_on;updated_by;updated_on
1;2001eb00-2766-4531-ac64-f7fba235961b;Low;Forge overriding;multi-byte;94173;24479;2022-08-03T05:04:20;82931;2022-08-02T22:46:43
2;15ce5e25-8d92-44d4-8da8-afd8eeb61f4c;High;quantify Wooden;sensor Fish;45228;81393;2022-08-02T20:12:00;24635;2022-08-03T06:51:17
3;a8a1b279-2f8a-46fc-b87a-12fe477f9993;Low;Ukraine utilize portals;executive Kuwaiti data-warehouse;23528;41020;2022-08-02T12:32:06;19610;2022-08-02T22:01:19
4;5c47204d-065f-4531-85bf-7fa00bb32b8b;High;Path;SDD firewall;19567;55284;2022-08-02T17:20:55;87893;2022-08-02T11:41:08
5;38a33599-c2a1-459f-b718-8aa5c59eeb15;Moderate;Global;black Seamless;29272;70164;2022-08-02T15:16:47;99506;2022-08-03T04:08:53
6;30c65955-2e59-4efd-887a-9058101b4468;Moderate;Rufiyaa Berkshire programming;Corporate;99183;9620;2022-08-02T14:37:53;25075;2022-08-02T09:31:59
7;8b9af2d7-37e7-49e4-9bac-601dea67933b;High;Ergonomic Wyoming Mobility;cross-platform Libyan;3096;72714;2022-08-02T13:56:28;55979;2022-08-03T08:41:29
8;68c2ea96-55c6-452f-aec4-72bd58630aea;Moderate;Gibraltar lavender Buckinghamshire;New;91774;22391;2022-08-02T23:55:52;46695;2022-08-02T12:45:17
9;7ffda11f-e244-4eab-b071-2eb05bea2b2e;High;Web;Hat Buckinghamshire;65554;42600;2022-08-02T19:55:41;33663;2022-08-02T21:04:53
10;9da4175e-4295-456c-b132-a1245e19264e;Low;matrix Planner;Garden Granite;25471;99184;2022-08-02T21:47:03;75492;2022-08-02T23:57:16
