id;g_uid;nature_of_damage;control_type;control_measures;created_by;created_on;updated_by;updated_on
1;6bcd3844-4b9d-49ab-8902-b2318d438942;generating emulation;Cultural;Technician Licensed innovate;97798;2022-08-02T14:36:19;88709;2022-08-02T19:32:14
2;942e25e9-4746-4365-a279-0d644c1527f6;Mews;Mechanical;Secured Loan;17942;2022-08-02T16:08:28;312;2022-08-03T07:22:56
3;b151e956-1017-4dfa-8d74-b8a7a368eaf7;Plastic Central Gorgeous;Biological;Soft Reduced;93708;2022-08-02T10:27:28;20095;2022-08-02T21:16:00
4;efd7cb0e-c5a8-4f05-b4dc-c63b204efea5;Manager protocol;Mechanical;Kansas visualize Awesome;21093;2022-08-02T20:19:09;42936;2022-08-03T08:29:46
5;8f606a39-d6d7-43e4-baf2-a2610dad1cf1;Internal maximize;Biological;Robust Plastic integrate;75865;2022-08-02T11:45:57;25715;2022-08-03T00:56:16
6;7091aca2-e243-459a-b89d-dc52539e96f3;COM Bridge;Cultural;connecting Avon Universal;72986;2022-08-02T17:31:40;56962;2022-08-02T17:40:31
7;2662c960-990e-4abc-a9e7-be5e04418faa;Borders Loan;Biological;Concrete Pants;35237;2022-08-03T07:51:54;77159;2022-08-03T06:53:19
8;1a4aa359-22fc-47c3-bf12-d317a5049117;application;Biological;architectures Cambridgeshire navigate;13931;2022-08-02T22:28:19;43642;2022-08-02T20:48:52
9;2ac8ddb3-24a8-4a3d-a2fc-305d4ddf616b;Optimized Concrete;Cultural;Wooden Directives Business-focused;88789;2022-08-03T05:40:33;10054;2022-08-02T22:19:10
10;0966adff-9db7-4b22-98b2-96ea0351b423;Automotive Future Tools;Biological;Loti;33271;2022-08-02T22:38:06;69882;2022-08-02T21:54:23
