id;g_uid;common_name;scientific_name;family_name;plant_spacing;seeding_month;transplant_month;harvest_month;origin_country;yearly_crops;native_temperature;native_humidity;native_day_duration;native_night_duration;native_soil_moisture;planting_period;yield_unit;growth_height_min;growth_height_max;grown_spread_min;grown_spread_max;grown_weight_max;grown_weight_min;growing_media;documents;notes;attachments;attachments_content_type;created_by;created_on;updated_by;updated_on
1;8018bb36-a92b-4dd4-a013-f98838f98225;value-added;Handmade Metal;Wooden payment Berkshire;22178;November;June;January;25400;41094;4522;13768;2812;63945;20869;91503;28447;35279;66902;23173;54687;71502;37989;Beauty leverage;Cambridgeshire;Corner Bedfordshire Gorgeous;../fake-data/blob/hipster.png;image/png;95076;2022-08-03T01:30:56;42298;2022-08-02T18:20:27
2;1cbdca6f-b8d2-44c2-8752-dee490417314;deposit Tonga;Soft Fresh evolve;RAM;38320;October;March;July;94635;42770;26568;2218;13807;10221;19248;42557;16449;37232;32811;10959;84150;8640;27512;Refined redundant;Health;invoice;../fake-data/blob/hipster.png;image/png;7542;2022-08-02T21:52:08;6347;2022-08-02T16:49:28
3;deff9d04-a40c-46a0-a548-265e97709d74;Incredible;Bedfordshire;driver payment systems;37999;September;February;January;85153;81281;18106;8001;59568;67902;18641;85319;77389;45206;39267;65473;46451;99283;89137;Cheese;parsing back-end;grey Handmade;../fake-data/blob/hipster.png;image/png;90540;2022-08-02T18:11:33;6848;2022-08-02T15:08:28
4;c148fbc0-893f-4db2-bd1d-01550fb15c16;Guatemala Soft;1080p;orchestration Auto global;96288;June;February;June;42255;6147;6415;844;3207;87923;58689;23568;17443;63763;57797;13442;72133;42327;88022;Loan;Frozen;Vermont;../fake-data/blob/hipster.png;image/png;75462;2022-08-03T00:41:59;76279;2022-08-03T01:15:42
5;25c40761-9fe4-4ed5-9db9-99fe093546d9;Health invoice;Handmade Steel;Outdoors;61055;November;October;March;54133;20304;96800;93783;98266;13083;37410;5755;95820;38829;89269;23955;62014;7221;9110;circuit Wooden deposit;South bottom-line Incredible;target Assurance orchid;../fake-data/blob/hipster.png;image/png;17018;2022-08-03T01:32:43;66494;2022-08-02T17:43:34
6;60a22a45-a8b5-4338-bbaf-585fe74427ad;Universal experiences Auto;Refined Frozen;Car programming Cloned;4073;February;October;October;57110;32821;435;97599;78440;98806;76476;12249;34204;32944;4363;53171;21165;70478;9410;navigate Factors Specialist;Metal withdrawal;Markets;../fake-data/blob/hipster.png;image/png;90727;2022-08-02T10:35:02;43581;2022-08-02T09:49:55
7;834eaca8-41cb-4e4c-9e08-5ecd2218d7c2;extranet;Borders Ball Multi-tiered;IB compelling;49064;March;February;January;16768;33736;9896;17927;1888;89345;95517;95127;39052;17575;55484;67883;27615;96363;50995;Open-architected;discrete;Netherlands calculate;../fake-data/blob/hipster.png;image/png;74362;2022-08-02T17:01:23;31926;2022-08-02T17:23:54
8;d7952390-e658-4fa8-addd-b6c72928547f;Belgium copying;auxiliary throughput Quality;El;17881;September;February;May;43902;35415;22396;53211;30430;235;45693;86455;29393;9260;14712;11676;34713;69616;86305;challenge Concrete;quantifying azure;systems Soft;../fake-data/blob/hipster.png;image/png;18974;2022-08-02T22:20:54;58145;2022-08-02T21:16:31
9;7e09806c-d8db-4aa5-abb6-405013dabbc2;Salad Buckinghamshire;JSON red Fantastic;facilitate;36425;June;January;October;37685;88716;34135;80959;44434;41238;74485;96855;18400;68286;45499;29612;45090;35161;75370;Account data-warehouse Refined;firewall Intelligent;Soft e-business overriding;../fake-data/blob/hipster.png;image/png;1254;2022-08-02T12:26:23;37543;2022-08-02T15:42:02
10;91883bd4-fdae-40e1-8a70-8b448083c948;compress Berkshire Metal;Metal HDD Rubber;bus wireless Table;63164;April;May;January;35420;50477;85797;72001;63554;33602;47594;12636;46227;5910;49033;59790;63838;28467;22572;Tools harness Home;Manager;Rupee TCP;../fake-data/blob/hipster.png;image/png;95443;2022-08-02T18:10:27;12088;2022-08-02T13:52:58
