id;g_uid;plant_factory_name;plant_factory_type_id;plant_factory_sub_type;plant_factory_description;created_by;created_on;updated_by;updated_on
1;9d7720f7-fac5-41cf-9d59-a8cbc2a009c4;interface Guinea open;Net;Nano;SSL Buckinghamshire grey;63627;2022-08-02T20:17:01;25935;2022-08-03T01:27:13
2;05053f30-0e11-492f-9279-27a5702f6c35;Salad;Ventilated;Nano;Automotive Dynamic;95944;2022-08-02T23:49:55;55977;2022-08-03T04:46:48
3;ef5284c8-2528-40da-a201-acbbe96b4523;calculating product;Farming;Nano;engage;12867;2022-08-02T19:27:22;91406;2022-08-03T04:51:44
4;f8e204d3-37d6-4fa6-8766-f26ad0a1ddd3;contingency Agent;Net;Pico;withdrawal;94178;2022-08-03T04:11:52;27659;2022-08-03T02:32:21
5;08411585-47d4-4ec2-84fc-8c120386c109;Latvian Ecuador TCP;Artificial;Nano;capacity invoice;73899;2022-08-02T14:37:20;71093;2022-08-02T17:38:59
6;a5dfea14-c380-4f73-8912-394254c044d6;Junction Bedfordshire Strategist;Farming;Tera;Czech Wooden benchmark;21499;2022-08-03T06:14:42;98758;2022-08-02T12:01:32
7;ef9ff29c-f826-4266-a061-9ce013e00edf;partnerships Berkshire AI;With;Tera;Myanmar overriding;30804;2022-08-02T12:54:59;24034;2022-08-02T17:14:25
8;c3ae7b5b-7f73-4962-9ea9-d07da9d85fc5;Crossroad;SN_Shade;Femto;Clothing;60260;2022-08-03T03:28:38;4330;2022-08-02T20:01:58
9;9cc9d327-b2c5-4592-b19d-ae0520b2e186;deposit Zealand Market;Artificial;Micro;Pizza;47765;2022-08-02T12:02:04;1011;2022-08-02T22:11:51
10;9cb4677a-1695-4685-85f7-bea98f60c2f7;Dynamic 1080p;PFAL_Protected;Nano;Optimized mesh;26638;2022-08-03T07:44:37;49017;2022-08-02T22:18:30
