id;g_uid;source;air_temperature;relative_humidity;v_pd;evapotranspiration;barometric_pressure;sea_level_pressure;co_2_level;nutrient_tank_level;dew_point;heat_index;turbidity;created_by;created_on;updated_by;updated_on
1;ac5fcf13-1653-4b7b-be22-88b6eeb4805c;Manual;40953;37416;43485;12292;5800;49662;62368;49386;53363;62073;18497;160;2022-08-03T00:59:05;6034;2022-08-02T12:31:01
2;e74dd425-b0f3-4a8f-96e2-ab2c7fac232f;Manual;95305;41069;7063;28627;59917;97978;5640;19410;51568;34098;26608;24410;2022-08-03T01:48:29;71019;2022-08-02T23:27:34
3;0393d8c9-0dba-4cd2-86e9-feb2df9f292b;Manual;34740;96388;45014;76942;37843;51878;63341;80979;68887;41356;49501;20554;2022-08-03T03:26:08;67658;2022-08-02T14:56:34
4;9d32fe64-e2b7-4049-873d-a4a6a72c4e82;Manual;12294;50336;17515;45877;63066;44175;86552;54640;1551;22957;80516;614;2022-08-02T23:58:17;77883;2022-08-02T17:27:35
5;686b89a8-d57b-4d07-b9a6-4ded55898a72;Automatic;19266;99306;53390;26735;26129;60159;97501;68109;34023;96549;14513;8403;2022-08-03T05:48:49;4526;2022-08-02T20:41:27
6;5a332a5b-3c2e-4009-a0b5-ecd4185bdc97;Manual;42553;45842;83707;91694;31918;8897;2624;72999;39251;69405;12453;76084;2022-08-02T09:48:04;65139;2022-08-02T11:13:48
7;99b88540-439f-4545-bece-911e5a614021;Automatic;36792;70403;89144;27724;43281;45457;895;83516;9119;67753;74505;95752;2022-08-02T19:57:30;32357;2022-08-02T13:37:09
8;fccfc1d1-8002-483a-a14a-0ed1701934c8;Manual;10771;42778;51838;44129;94224;54358;39462;61184;91343;55215;49009;25609;2022-08-03T08:03:51;9322;2022-08-02T20:35:20
9;5266a53c-ea94-49fb-a66b-3642a33b994d;Manual;51470;33774;24184;74454;88426;67554;53517;39051;29838;53906;62057;99474;2022-08-02T21:40:17;80143;2022-08-02T20:28:01
10;cafeeb79-ca12-4d58-b580-ec023e117743;Manual;390;42747;21813;16030;53526;13811;458;754;2891;43249;64414;85083;2022-08-02T09:15:20;85899;2022-08-02T12:15:53
