id;g_uid;product_code;product_name;product_price;product_type;u_om;other_product_details;previous_entry;manufacturer;product_description;image_file_name;product_entry_name;capacity;length;width;height;created_by;created_on;updated_by;updated_on
1;3090a85f-db9c-465e-bc55-cb21cecea3b7;withdrawal THX Division;Metal;83023;Ornamental;70307;partnerships Infrastructure;91058;compressing withdrawal green;Bedfordshire Lao neutral;Bike;Computer CFP orange;9548;46269;94963;80588;95487;2022-08-03T00:20:23;58781;2022-08-02T11:26:17
2;3c0ded89-f310-4826-8847-a72ad2f23227;Center black pixel;Account;68319;Vegetables;78950;Consultant online;80952;open-source;Fantastic;Buckinghamshire;metrics;95618;19864;94541;80676;71562;2022-08-02T14:14:45;35940;2022-08-03T03:42:46
3;675d0e96-9014-4e41-9f01-a2468fc20e58;Zimbabwe Games Balboa;transmit Incredible IB;52857;Ornamental;1215;Rustic magenta transitional;80631;Practical Solutions Tuvalu;Square Checking Coordinator;Product;Administrator CFA;47027;67453;17338;29142;35682;2022-08-03T01:36:00;79010;2022-08-02T08:55:41
4;d1774b3f-afc6-4895-a23d-52cdca3542e4;Computers Man;Electronics;20046;Ornamental;96313;protocol;17974;portals Berkshire intuitive;Concrete Account Account;Functionality Small adapter;Gloves;97400;75149;11276;50912;79312;2022-08-03T05:39:30;97490;2022-08-03T01:41:36
5;086ec1e4-878f-4edf-a033-5fa46fd5887f;Future revolutionize Orchestrator;Bacon Guinea-Bissau SCSI;19021;Ornamental;79227;Massachusetts Programmable;5608;Functionality multi-tasking;primary Plastic;Infrastructure Buckinghamshire Avon;Kansas Kids;5378;92734;58934;77075;47581;2022-08-02T23:20:32;20850;2022-08-03T07:08:00
6;d7d6213e-5df3-4fc0-a633-c3f3611d844d;systems payment Home;Shirt indigo Paraguay;29446;Medicinal;71638;neural back-end Infrastructure;76041;frictionless wireless user-facing;Account compress;auxiliary Oman Shirt;Pizza Metal;4880;61558;26836;78459;94565;2022-08-02T22:28:01;5352;2022-08-03T05:15:32
7;14c4c62b-ac0f-42d5-b97f-d8c591c5f735;technologies;Music Shoes Hampshire;78351;Ornamental;49405;Games;34634;optical;niches AI Loan;port niches;Global Viaduct;86469;88539;3511;12780;58089;2022-08-02T12:01:17;46843;2022-08-02T18:34:46
8;cd295d00-0b9c-4dad-bc09-11863a029d55;Cook International Inlet;Chief 1080p Yen;24507;Medicinal;25433;Regional algorithm empowering;26323;Carolina Planner;Distributed;black Islands;Card Optimization;55120;66022;68738;84877;12426;2022-08-02T22:52:46;50178;2022-08-02T19:38:07
9;5d0f9a83-8cae-4f8d-a755-fd98b2bcaf69;online;Configurable;1251;Medicinal;30711;Communications;17776;primary protocol Handcrafted;Maine transition Bedfordshire;primary Configuration;PCI concept pixel;60456;80473;66119;87654;45356;2022-08-02T21:48:01;76018;2022-08-02T10:31:46
10;15e76304-b4ac-4f08-8c10-2fac4b85eed2;Gourde mesh;Spur;88058;Aromatic;75441;Cross-platform infrastructures;35645;Steel;Configuration Berkshire;digital Florida Islands;virtual;42938;61960;9648;13743;38225;2022-08-02T17:26:48;19396;2022-08-02T16:29:12
