id;g_uid;quantity;u_om;material_type;price;description;created_by;created_on;updated_by;updated_on
1;4e815ca6-65a7-4d1d-a987-0281edad64ad;92949;53403;Fruits;78305;Nebraska deliverables;15427;2022-08-03T06:36:35;39476;2022-08-03T05:20:20
2;41edf244-b1f0-4bc4-b651-2f4f7c2e632e;37646;15071;Grains;63254;matrix program Timor-Leste;1864;2022-08-03T07:35:21;16587;2022-08-02T16:29:27
3;147700fb-ea29-4334-8292-f92f833ccf49;58072;68759;Latex;58517;Bedfordshire Account Central;67824;2022-08-02T15:51:29;41131;2022-08-02T11:20:26
4;dcd511dd-e495-425a-8eb1-924d71efded2;45827;19258;Fruits;63500;enterprise;86240;2022-08-02T17:03:34;20711;2022-08-03T00:02:49
5;91a3b7f2-f25b-4c63-aed7-39bb1ad57e59;34194;45288;Vegetables;18191;granular;9050;2022-08-03T08:44:53;63641;2022-08-02T12:52:43
6;8d029681-9490-4039-ae71-8eb311300469;10464;80992;Resin;33338;Configuration Uruguay;68135;2022-08-02T11:42:23;24254;2022-08-03T05:03:24
7;9744fee3-9224-4a48-9e4f-31fa1cd4eb60;42600;76153;Flowers;44853;Handmade;66302;2022-08-02T22:19:34;50381;2022-08-03T04:04:22
8;0dfc806a-0c3a-4b6e-a3da-807a725b53ab;14815;69998;Vegetables;89805;Cambridgeshire Steel connecting;46641;2022-08-02T22:37:13;98761;2022-08-03T00:51:06
9;8d4f0607-8d0d-4a60-a89a-a431df4ab500;55478;34590;Fruits;39859;Legacy navigating;21900;2022-08-02T11:00:47;62141;2022-08-02T20:54:08
10;24ab27ac-efa5-483c-a0e7-dff1711d274b;22695;93958;Wood;72577;holistic Account Technician;11590;2022-08-02T12:35:21;59365;2022-08-02T16:17:13
