id;g_uid;plant_name;recipe_type;p_h_min;p_h_max;ec_min;e_c_max;air_temp_max;air_temp_min;humidity_max;humidity_min;nutrient_temp_max;nutrient_temp_min;lux_germ_max;lux_germ_min;light_germ_dor;light_germ_cycle;lux_grow_max;lux_grow_min;light_grow_dor;light_grow_cycle;co_2_light_max;co_2_light_min;co_2_dark_max;co_2_dark_min;d_o_max;d_o_min;media_moisture_max;media_moisture_min;nitrogen;phosphorus;potassium;sulphur;calcium;magnesium;manganese;iron;boron;copper;zinc;molybdenum;germination_tat;identification_comment;growing_comment;usage_comment;created_by;created_on;updated_by;updated_on
1;b0c071a9-5038-4ada-b99a-dffa0c007118;Malagasy Salad;Architect copy open;92526;9780;Arboriculture;73481;5353;8999;58892;99621;84353;77220;28929;17806;74857;94144;12027;80290;81735;93673;4331;35676;99927;85817;45458;83738;61904;35728;49368;26847;61502;86062;54315;7666;45473;64861;76219;61006;29291;57657;88509;Afghanistan;cross-platform;Mexico;67909;2022-08-02T17:00:53;42527;2022-08-03T04:15:05
2;fb8190cc-9d93-4a8c-8187-01ff6f9ef786;quantifying;Human Lane;32041;68444;Viticulture;69739;94460;846;65740;70222;64604;93323;948;67445;64452;26538;52524;76974;4671;4364;44555;40955;93507;73099;73055;65177;91203;54605;89735;49766;24248;15871;48131;45360;50871;65311;14398;91984;72905;57875;77644;framework Money;Bike;Avon port;48820;2022-08-02T10:59:50;91243;2022-08-03T07:31:36
3;8129fe2f-2db1-497e-b2b1-edcce2cbb5a0;up program;Central;27031;72840;Olericulture;34509;11659;76568;73530;73102;38405;20021;92433;57528;89398;44059;50001;84646;44611;34651;85904;37553;26689;58307;34868;78455;19280;46453;37067;20015;79294;77713;40197;6473;49319;94601;14546;16696;38958;4380;65461;B2B;programming South mint;Bacon withdrawal;53518;2022-08-02T11:20:50;26301;2022-08-02T20:04:39
4;91f3cec2-a57a-494e-bdc9-3b496c846e67;Group Object-based;systematic hack Balanced;64145;63569;Olericulture;20516;94431;51405;8537;78260;42782;40054;11045;93935;56966;34538;76452;62681;33826;24311;50395;61757;49145;7446;92325;68050;56981;87826;12625;86073;59760;79711;69314;10013;28166;79072;79294;79114;27062;42479;86637;best-of-breed Supervisor;utilize deposit;Account Supervisor olive;84288;2022-08-03T04:58:07;63224;2022-08-02T21:34:15
5;5de77450-2b14-4a42-a834-d777fae2c9ff;leading-edge;payment hacking redefine;65183;34574;Floriculture;839;6574;90400;41640;36403;38025;90747;48057;55132;5099;49884;54263;73843;96242;28191;93525;56756;47283;47144;34221;94862;98580;88497;63490;79115;9830;10165;35385;21485;26006;88614;60752;27528;29296;40359;69504;ADP Faroe;Sleek maroon;withdrawal EXE Lead;24315;2022-08-02T09:40:23;87847;2022-08-03T01:10:48
6;6b7b8e39-2d9b-4cd3-9a50-4c3615ee020d;Chicken;capacitor Ford;26438;39104;Landscaping;96115;76794;99490;31918;69054;71714;99052;32306;95974;16775;83196;66297;88932;52282;17591;96491;33675;97969;62706;33737;15368;35063;68509;70149;63991;47847;82010;15259;71607;43702;30937;75815;39680;64553;76764;86061;Virginia;Georgia;emulation Rustic;12406;2022-08-03T06:24:44;68267;2022-08-03T01:43:02
7;a49ed0f2-de97-4982-b327-f1fde3d56115;calculate;plum;68732;31126;Landscaping;73314;95008;5115;72055;1563;74977;5337;93260;78719;58190;19357;52203;35783;10442;12703;20204;32057;23782;63793;30983;98611;50931;14139;94944;11511;5805;25435;5410;33646;72000;57;83734;46262;58463;70800;83531;Cotton index;Frozen;Specialist Team-oriented;49216;2022-08-02T16:13:09;85400;2022-08-02T09:52:20
8;fc1751f9-d75b-4b2e-ab52-da82d07057b3;Wooden Shirt;matrix Towels Garden;12605;20194;Arboriculture;67987;63986;22515;82520;92564;70778;58128;47586;32695;90531;64546;8180;55818;5842;32943;891;94895;61389;10048;33120;50277;33902;57711;92812;21882;77728;78957;92943;17733;58659;16333;43421;87768;29381;73255;68195;Steel Fresh;Soft open-source archive;Hawaii Texas Synergistic;58383;2022-08-02T17:59:58;60954;2022-08-02T17:07:15
9;edf49379-0517-4054-8d44-2e35b37edf58;Account;Borders;73518;41405;Landscaping;76729;89176;90484;36381;20686;50997;79021;66222;28385;16003;20967;63259;19452;38718;7383;77915;62322;59813;98974;33357;19009;85676;4510;65641;75748;15388;97164;20493;90107;80302;49328;31445;16117;97450;82828;78110;copy Extended;Developer national;Alabama Cambodia;66850;2022-08-02T21:52:10;35025;2022-08-02T20:33:12
10;977447da-cb60-4491-87c0-281e9f74191a;programming panel;deposit (Bouvetoya) engineer;29777;24485;Landscaping;97998;11477;76070;93754;44456;12485;70353;84498;70687;74428;72794;69779;18214;57037;83040;54788;40555;44423;95740;40163;11871;24593;64800;24554;19025;62349;15599;72881;20051;11016;19062;50080;28771;11192;92822;69741;mobile;scalable;deposit Malagasy Rubber;11448;2022-08-02T19:34:07;21842;2022-08-03T02:48:26
