id;g_uid;name;date;time;item;description;created_by;created_on;updated_by;updated_on
1;0971f260-10db-46c4-8cc0-78e04a73e010;SMS National;2022-08-03T05:56:28;20185;Irrigation;71136;52585;2022-08-03T06:34:54;8997;2022-08-03T05:13:15
2;47bbf8c8-c4f1-41bb-8f11-85c59379ccf9;indexing exuding Court;2022-08-02T11:52:15;44393;Lighting;80757;37499;2022-08-02T17:20:05;2805;2022-08-03T02:52:28
3;af44dcc7-f750-432c-8b01-ba8899ffbe14;PNG global maximize;2022-08-03T04:29:47;8357;Disease;30694;27849;2022-08-02T12:34:38;81498;2022-08-03T01:36:45
4;45a32f36-e9f8-4a8c-bc34-838364b958f2;Assistant;2022-08-02T17:25:13;74426;Weed;25074;504;2022-08-03T06:22:38;53857;2022-08-02T22:11:22
5;3138b9f8-87dc-4cc1-960b-b552a912697d;deposit driver cross-platform;2022-08-02T19:38:21;5226;Weather;99422;27772;2022-08-02T17:36:00;35339;2022-08-02T09:49:21
6;fa02ea21-b873-49f3-aecf-1f374177f8d4;circuit parse;2022-08-03T03:22:44;94584;Weather;12481;3434;2022-08-03T04:39:23;64960;2022-08-02T22:23:53
7;2f7d45b5-5d15-4279-b3d2-130a7bcc886e;firewall Inlet;2022-08-03T05:26:24;130;Irrigation;65796;53452;2022-08-02T11:52:23;67872;2022-08-02T22:04:08
8;44fca3d9-4ea0-424d-9779-ca3a1d9f5a96;analyzer Creative Strategist;2022-08-03T08:51:40;24690;Irrigation;11117;87842;2022-08-03T01:21:35;59600;2022-08-03T00:28:50
9;6649447f-52a0-477f-84d8-379985102e03;Mountain Strategist PCI;2022-08-03T00:06:28;18178;Pest;30226;94542;2022-08-02T14:24:33;25434;2022-08-03T03:48:16
10;583a569e-be13-4938-bbd2-c2150887d837;Account;2022-08-02T11:30:34;51940;Weed;43095;32587;2022-08-03T03:58:08;26666;2022-08-03T06:25:16
