id;g_uid;has_table;description;child_role_type;valid_party_relationship_type;valid_from_party_relationship_type;party_invitation_role_association;created_by;created_on;updated_by;updated_on
1;35daaf89-3e71-404a-900d-3f4de239e842;false;Pound;67572;88917;64316;Versatile;73254;2022-08-02T17:00:26;53435;2022-08-03T07:02:37
2;bc87ee3c-5086-4cad-9a79-5f158b91b647;false;Optimized deposit Re-engineered;12294;86041;34673;Toys;95309;2022-08-02T11:12:16;51467;2022-08-02T16:49:04
3;7468c11b-6e10-49a3-80bf-61d4feccd453;false;RAM;80849;37063;98481;Small copy;1893;2022-08-02T09:00:05;52358;2022-08-02T17:25:43
4;9f93c324-2c81-4014-af37-f3417f642632;true;PCI USB Regional;16610;95123;89715;Square distributed;86493;2022-08-02T17:33:51;83373;2022-08-02T09:46:10
5;4a00521c-aa4c-42ee-a8df-4cfc2545feaf;false;bypassing Louisiana matrices;13929;74621;51958;system;84894;2022-08-02T11:37:18;68331;2022-08-02T12:56:38
6;dfc96704-97b9-411d-9b48-0e18fe81907e;true;deposit deposit salmon;47184;44878;28523;reintermediate disintermediate modular;67720;2022-08-02T16:38:11;19866;2022-08-02T11:01:36
7;825210b7-367d-442c-aee8-3dae1949bce5;true;program;65969;32930;43163;Chips Cambridgeshire Ergonomic;32398;2022-08-03T06:56:24;26120;2022-08-02T20:47:02
8;783f0906-489c-4589-83b8-af9ab3c45848;true;Gloves generating online;47294;52780;5499;Dalasi;31121;2022-08-02T16:42:39;68580;2022-08-03T02:51:23
9;a018f711-b829-453c-afbc-92e6b739416a;true;Berkshire;9676;21489;13848;calculate neutral;11794;2022-08-03T06:08:17;99403;2022-08-03T04:19:10
10;aaec0964-e509-49ec-be1a-defe307a77be;false;enhance Cambridgeshire Cook;27360;73154;13498;contextually-based;62665;2022-08-03T01:58:43;15531;2022-08-02T12:55:41
