id;g_uid;attribute_name;description;created_by;created_on;updated_by;updated_on
1;5ea26452-2405-4827-94bf-3b2560178555;Riel capacitor Awesome;open-source;19061;2022-08-02T22:36:10;21321;2022-08-02T15:17:29
2;b36e1bbe-85c0-4416-83c0-abeeb35e30b7;Generic;Mobility Program;98480;2022-08-03T06:15:33;76474;2022-08-02T19:37:09
3;613d48a3-d59a-46c7-bc6f-e8c54add044e;black;De-engineered Trail Metal;33078;2022-08-03T07:36:36;28833;2022-08-03T04:57:57
4;111e5778-4ba4-40c7-834d-75890e9d669a;human-resource Pants;withdrawal;43473;2022-08-02T10:43:32;5943;2022-08-03T04:06:45
5;b7b5d2a4-2e3b-453c-82f3-d926bbd17846;program Belgium Shirt;Money next-generation;46887;2022-08-02T15:31:31;69351;2022-08-02T10:36:29
6;ff14af96-e5e7-4732-b5c0-e702727e4148;azure hacking Developer;Automotive Concrete redundant;72022;2022-08-02T11:11:55;86999;2022-08-02T16:39:16
7;6fbedfb3-c819-4f83-b2dc-76932510245e;Soft;Avon implementation Tuna;92796;2022-08-02T10:56:45;24735;2022-08-03T07:50:22
8;b0a432ed-4d5d-4cff-8901-1105b898821c;Alabama quantifying AI;compressing;49189;2022-08-02T17:18:57;29821;2022-08-02T13:04:59
9;62d912ac-0e62-467d-b80d-c00694fc15d4;Qatar magenta override;Maine Ball;48333;2022-08-03T03:35:14;26024;2022-08-02T16:33:18
10;738ed510-29c7-4321-b114-6a96a533ea06;Frozen;Texas Tasty input;3153;2022-08-03T03:45:29;67835;2022-08-02T11:15:27
