id;g_uid;scouting_date;scout;scouting_type;scouting_coordinates;scouting_area;crop_state;comments;created_by;created_on;updated_by;updated_on
1;12a46e34-d277-4c6b-a0f2-4f582a4fa021;2022-08-02T13:28:48;solid online synergistic;Disease;94543;34494;Good;compress Integrated;94019;2022-08-02T14:51:28;38026;2022-08-02T10:42:38
2;6f0258d3-2933-4ecd-8c38-eccd17d6106f;2022-08-02T12:42:44;Ports;Water;49105;51501;Normal;methodologies embrace;78204;2022-08-02T13:06:19;53588;2022-08-02T18:25:16
3;66205fe5-6eb4-4068-b84f-46d9747e3422;2022-08-03T00:14:06;Fiji COM Proactive;Others;24966;61745;Bad;optical Streets;6857;2022-08-02T19:34:59;28055;2022-08-02T10:40:21
4;1bb567cf-a2e5-4143-8758-15727e161f2c;2022-08-02T13:13:38;Jewelery;Weeds;5605;85534;Good;Administrator Bedfordshire;33560;2022-08-02T12:40:23;25130;2022-08-02T19:41:41
5;be9bfaa6-15d4-49fa-8ba6-c7694ae34074;2022-08-03T02:22:41;Berkshire;Insect;81532;96612;Bad;primary Keys Steel;95370;2022-08-03T08:42:51;89011;2022-08-02T13:09:19
6;5f499036-e8eb-4857-81f1-035f75944fda;2022-08-03T07:17:21;backing withdrawal;Growth;2059;62172;Bad;Ferry California;382;2022-08-02T16:03:52;56317;2022-08-02T18:32:56
7;05b211af-0d3f-4e66-98a8-f86f40cd0fca;2022-08-02T13:04:19;Account Card Cambridgeshire;Water;23899;50029;Normal;software Unit lavender;30912;2022-08-02T22:31:29;28270;2022-08-02T11:55:42
8;48750945-dc34-4a19-9172-2848b6cd897a;2022-08-02T10:00:20;killer;Insect;81396;47108;Bad;Steel;92791;2022-08-03T00:04:48;57741;2022-08-03T06:24:43
9;93a18ed9-8225-451a-b64a-cc77794af6d7;2022-08-03T07:12:17;Rubber project black;Growth;87761;49427;Good;synergies;3464;2022-08-02T21:03:11;61094;2022-08-03T07:37:04
10;260b95ad-4203-49cd-afbe-630582edc1d4;2022-08-03T03:46:29;AGP Account Frozen;Growth;1521;50477;Bad;deliver;37854;2022-08-02T10:43:09;82085;2022-08-02T21:32:20
