id;g_uid;season_type;crop_name;area;season_time;seasonstart_date;season_end_date;created_by;created_on;updated_by;updated_on
1;9c7bb143-d45e-4bdd-ac9e-22c131333175;Summer;Forward Garden Illinois;53751;October;2022-08-02T19:20:05;2022-08-02T16:02:24;12399;2022-08-03T08:16:26;60753;2022-08-02T15:14:30
2;c628367a-580d-4f24-91ee-02a88f9ddfdf;Kharif;Home;74518;February;2022-08-02T13:51:56;2022-08-02T22:41:38;4552;2022-08-03T02:08:45;6971;2022-08-02T09:28:17
3;75fca3d2-05bb-4dcd-a43e-2dff5b4b66f5;Summer;open-source;94017;November;2022-08-03T05:19:59;2022-08-02T10:53:19;4044;2022-08-02T14:40:05;82492;2022-08-02T12:46:51
4;702b3609-986a-4ac4-af17-dd67c5ef352e;Summer;magenta Kroon enable;34690;December;2022-08-02T13:08:34;2022-08-03T01:07:32;36098;2022-08-02T09:28:52;34976;2022-08-02T14:38:31
5;6a790ff8-7dbd-4388-a2b3-cdb6a37a8348;Rabi;Cambridgeshire Leone;55750;October;2022-08-03T06:01:22;2022-08-03T00:06:43;22548;2022-08-02T18:26:36;42127;2022-08-03T03:27:59
6;aec1004b-4d18-48c4-9239-d62336976754;Summer;Consultant Avon Plastic;2218;January;2022-08-03T04:13:32;2022-08-03T00:26:43;702;2022-08-02T10:06:39;96460;2022-08-02T23:31:19
7;72a8e5a5-00c4-490a-8cd4-923f92018534;Rabi;Sleek synthesize reinvent;28960;July;2022-08-02T16:09:53;2022-08-03T08:51:21;32041;2022-08-03T06:05:29;47563;2022-08-03T05:01:23
8;6c04d3d9-9ff3-4610-aa7f-7dc634b26f9f;Kharif;indexing Product withdrawal;88884;December;2022-08-02T20:44:10;2022-08-02T19:53:17;35887;2022-08-02T12:22:23;92140;2022-08-02T14:57:08
9;85bce4f3-eafd-45c0-bdc7-767b5ac89352;Kharif;User-friendly Salad feed;1281;February;2022-08-03T06:15:10;2022-08-02T12:26:57;89707;2022-08-02T15:34:14;67660;2022-08-03T07:35:27
10;891124dd-3301-4eb6-8a10-ce905a4c9155;Summer;schemas B2B navigating;32575;April;2022-08-02T12:06:17;2022-08-02T16:51:07;7314;2022-08-03T03:04:36;96545;2022-08-02T23:36:11
