id;g_uid;description;created_by;created_on;updated_by;updated_on
1;d0eccf29-e3c5-4c09-be30-17034b5a625c;Avon Springs Wooden;9300;2022-08-02T17:29:13;39710;2022-08-02T21:29:55
2;77636184-44ac-40fd-a022-1a86c9a42b28;Books vertical Wooden;25993;2022-08-03T01:58:55;3888;2022-08-02T17:42:03
3;3079e9e1-b981-442a-b7ca-012a9ff5096e;Shoal whiteboard interface;12640;2022-08-03T01:48:17;91199;2022-08-02T23:42:06
4;499482a4-ed38-4a27-ac0d-358c8678b940;Latvian Plastic;32551;2022-08-02T17:46:58;33724;2022-08-02T15:40:46
5;6b622ded-a26d-450a-a289-f954dcdbd42c;Steel;61594;2022-08-02T16:11:36;17992;2022-08-02T22:01:25
6;dc727b4d-a87d-4fb9-9b84-c3b75d00c6e9;Plastic;55323;2022-08-02T19:53:01;84408;2022-08-02T15:48:35
7;3f879d4b-5df3-4355-93f1-c9f536c4a8b9;navigating Bedfordshire;80073;2022-08-03T06:32:50;76742;2022-08-03T00:55:06
8;48f7645f-8e5c-4f4a-8b44-9cb93aa8c490;Kenyan;96124;2022-08-02T11:37:38;4281;2022-08-02T20:06:31
9;7f11335c-e78c-4662-9108-ea6029022e9e;yellow zero payment;6817;2022-08-02T11:25:09;74587;2022-08-02T20:40:28
10;254cc5ba-30ab-43cd-89a4-b7ad844fd631;Minnesota Wooden;39000;2022-08-02T14:01:14;70699;2022-08-03T04:34:53
