id;g_uid;created_by;created_on;updated_by;updated_on
1;98158293-d9c0-4fd7-8a9e-75700e222c9e;94764;2022-08-02T09:25:33;97928;2022-08-02T14:13:58
2;12732a2c-0cdb-452e-92b9-fbe2ef00d64a;28635;2022-08-03T01:12:32;48511;2022-08-02T23:12:59
3;5038dc2f-c44e-4249-a035-adf66651174f;26757;2022-08-02T16:03:02;69172;2022-08-03T05:26:45
4;14ee68f4-2ead-4c94-9045-7c21b0fb6455;55143;2022-08-02T16:35:03;62375;2022-08-02T16:03:49
5;e8079207-b62b-4d82-a808-0afe6c79b22b;92881;2022-08-02T16:31:32;58462;2022-08-02T15:41:48
6;1ae2cca7-fec2-44b5-9bd1-96c6b406f1c4;61202;2022-08-02T09:33:34;88675;2022-08-03T02:41:23
7;7a076416-9c13-4d3b-afab-688fd2541b16;2803;2022-08-02T11:25:17;6581;2022-08-02T20:10:48
8;37c86cd6-abbe-4a23-9097-f98dcf79908a;71690;2022-08-02T23:49:54;45078;2022-08-02T12:25:14
9;1ee71852-da0c-4f86-aff8-1b4910c10235;52522;2022-08-03T00:08:28;59989;2022-08-02T18:37:45
10;c299dc0e-2cc2-47cb-9fdd-46d1b844539d;26599;2022-08-02T09:18:18;88062;2022-08-03T07:32:54
