id;g_uid;description;created_by;created_on;updated_by;updated_on
1;82f4e49a-0716-443a-b77e-bd03241f124a;stable Guarani;92914;2022-08-02T17:39:45;74225;2022-08-03T06:40:38
2;050463ba-fc85-4b02-a573-68ea9aa1ad92;Bedfordshire;33749;2022-08-03T04:51:25;8391;2022-08-03T03:24:42
3;ebac7dbb-d569-44a2-bc61-551d6f35fa1b;Cambridgeshire silver;63021;2022-08-02T18:10:25;14922;2022-08-02T23:45:55
4;c24f1257-3118-46a6-bdde-af09612b81a0;portals Fresh;69062;2022-08-03T06:20:16;6758;2022-08-03T06:48:21
5;8c172741-8a3d-4e1c-9e8b-92893a362503;Manager;22022;2022-08-03T05:08:20;58439;2022-08-03T00:17:33
6;140ef90d-324d-4acf-8753-c913ec51a67a;Generic Avon;332;2022-08-02T16:51:41;19324;2022-08-03T01:12:04
7;cceee39a-9efa-408f-9d7f-1a3267079df8;invoice Account stable;22720;2022-08-02T12:24:41;51424;2022-08-03T08:51:34
8;41940c4c-0d79-47be-8f9f-0801ceb23e28;array;94893;2022-08-02T13:52:13;38158;2022-08-02T20:03:50
9;5039689b-c6e2-4b32-8527-258b098ae92b;parse innovate;40150;2022-08-02T15:11:16;65277;2022-08-02T22:34:30
10;1fe66298-a27b-478e-863e-eef21ca8abd4;Auto engage;54839;2022-08-03T04:49:11;10360;2022-08-02T21:32:58
