id;g_uid;breeder_id;seed_class;variety;seed_rate;germination_percentage;treatment;origin;created_by;created_on;updated_by;updated_on
1;0de773a3-3195-4740-94af-3b07a532e7a5;e-tailers Engineer Global;Certified;overriding Global IB;Kg_Ha;94753;Treatment;technologies Chips Cotton;3015;2022-08-03T07:24:29;34221;2022-08-02T16:02:14
2;30055f43-1cc8-4669-8633-f56e72e5ff26;Program cross-media green;Nuclear;communities port;Kg_Ha;76842;Dry;auxiliary input Handcrafted;38451;2022-08-03T04:22:11;95497;2022-08-02T20:56:37
3;54380563-bdf6-4271-b15a-da7d1a1b804c;National;Registered;Louisiana Internal Grocery;Kg_Ha;80748;Slurry;impactful copy Designer;17500;2022-08-02T15:56:42;21563;2022-08-02T22:42:02
4;9a835fd0-6f8e-4742-8d35-bdb5010a98d4;Wooden Health;Registered;array Cape;Seeds_Ha;65265;UV;Electronics;83757;2022-08-02T15:55:04;95703;2022-08-02T20:48:10
5;647dc2f7-f969-47b6-98ac-cee89e0a241a;Marketing;Certified;Consultant integrated;Seeds_Ha;93097;Dry;Refined Fish Accountability;83170;2022-08-02T10:01:36;54115;2022-08-02T14:29:48
6;d35c416f-fce2-402b-afa3-0062d2d1bf87;multi-byte up;Nuclear;Checking B2C;Kg_Ha;13936;UV;Rand bandwidth;54102;2022-08-02T12:10:12;71764;2022-08-03T06:12:50
7;c5505e53-848a-4fd9-ab11-0f459576327a;hacking Books bandwidth;Breeder;initiatives Jewelery Berkshire;Seeds_Ha;24171;Dry;SQL;15162;2022-08-02T15:13:41;67542;2022-08-02T17:05:31
8;532429f4-80d6-4120-9191-8d52daf66092;Jewelery Investment Corporate;Nuclear;compressing;Seeds_Ha;35869;Treatment;interfaces;65514;2022-08-03T01:49:27;32556;2022-08-02T17:08:21
9;8ff261cc-5c83-48aa-b38e-3842847f52f4;Principal Ports pixel;Certified;Concrete Savings calculating;Seeds_Ha;77919;UV;web HTTP Estonia;56396;2022-08-02T21:16:14;40684;2022-08-02T12:37:16
10;d5494eaf-693b-46fa-8267-4d7c5e1073a1;optimize Borders;Breeder;protocol;Seeds_Ha;5808;Slurry;Account;52742;2022-08-02T22:07:01;27192;2022-08-02T15:05:06
