id;g_uid;sensor_name;sensor_model_name;hardware_id;port;properties;description;created_by;created_on;updated_by;updated_on
1;bec517b7-ee25-4466-8bd9-f9462cf879f0;channels;Interface SCSI;10950;91550;Regional;input Rubber;99917;2022-08-02T19:20:03;73912;2022-08-02T11:14:34
2;a9c73b7c-1a98-4c9b-acb8-3e5f733a1990;Solutions;programming;7723;12956;digital Generic;maroon Pants;38788;2022-08-03T02:04:29;20124;2022-08-03T07:03:24
3;f0703b35-d3ca-4f83-bf9c-abd445dfd831;Riyal Generic;Director alarm;42174;76160;indexing virtual system;Loan deposit;19782;2022-08-02T22:45:48;39268;2022-08-03T03:20:17
4;a9bdfed6-b057-4504-8d1e-c28c66d0b8fd;Officer Generic;Cotton circuit backing;74677;84952;out-of-the-box Representative Gloves;integrate Metal calculating;15280;2022-08-03T01:39:26;41094;2022-08-03T05:43:36
5;a9c2aed7-dbf0-48e7-80df-3fa2020d5f3b;Buckinghamshire Rubber;middleware Optimized 24/7;63264;46386;intranet New cross-platform;Realigned interactive withdrawal;62635;2022-08-03T01:23:46;3260;2022-08-03T04:47:58
6;cc5e087d-bde2-43d7-ac4c-fbfb15bfce60;Unbranded invoice;iterate;34195;78179;International;firmware microchip Ergonomic;83479;2022-08-03T02:15:29;91748;2022-08-03T00:25:24
7;d4b6d85c-0f21-406f-b76f-d31d76d1758d;Chips Berkshire Rubber;Sleek Metal Computer;22793;8838;Engineer;IB;20599;2022-08-02T16:23:51;4165;2022-08-02T17:49:44
8;cfa3cb5f-0999-4e8e-acd5-389dbe7fff88;Loan CSS invoice;Music;68600;18296;Automotive Wisconsin Cambridgeshire;project;55389;2022-08-02T17:14:27;26016;2022-08-02T15:20:37
9;2b90c7cb-b5fe-4252-8a86-1e41261f50eb;auxiliary Self-enabling;card Island open;77820;81688;Tunnel generating;networks;4538;2022-08-02T14:28:27;30629;2022-08-02T09:28:19
10;66988c7e-f098-4097-a531-1aa3975da19f;Quetzal sky;virtual Clothing;67911;64861;Soft;hard green Towels;2108;2022-08-02T10:04:54;36804;2022-08-02T14:22:03
