id;g_uid;tool_type;tool_name;manufacturer;created_by;created_on;updated_by;updated_on
1;b96064df-769d-42cc-9146-ca197d7704bf;Rake;Gorgeous;repurpose;54572;2022-08-02T19:23:00;75082;2022-08-02T15:59:15
2;32c01021-8be9-4b4b-9017-343ae2a69e8e;Pruners;Administrator UAE array;Extensions Cambridgeshire;56748;2022-08-02T20:45:20;82722;2022-08-02T16:48:11
3;4e461c14-4971-4551-98f7-ebc9819d8977;Tractor;JSON architectures Knolls;program Future-proofed Frozen;85844;2022-08-02T16:44:38;52545;2022-08-02T09:33:25
4;397a7607-779c-4082-b333-71def9cbfdee;Wheelbarrow;e-markets violet RAM;auxiliary;12901;2022-08-02T15:58:52;40647;2022-08-02T23:18:16
5;e42febee-255a-4c98-80f4-2b043c4ea9b6;Cultivator;Massachusetts 24/7;cyan;45349;2022-08-02T11:30:06;1198;2022-08-02T23:54:47
6;260d8c79-a3e6-469b-baba-1c881b424958;Spade;interface Multi-tiered dedicated;Metal COM markets;14577;2022-08-03T02:54:19;96150;2022-08-02T20:22:13
7;b39b2166-024c-4d0e-b933-3a806750b5d0;Pruners;Pizza;Walk;48066;2022-08-02T13:58:03;72790;2022-08-02T17:00:29
8;3b596592-e101-4003-b7d4-0223e46d2bd7;Cultivator;Identity Steel Concrete;Fish deposit;14518;2022-08-02T21:20:02;48510;2022-08-03T01:04:48
9;562ea44e-e77e-4c9e-b2de-38a6bf86a613;Cultivator;Car optical reboot;eyeballs Salad;83314;2022-08-02T13:38:58;33236;2022-08-02T14:49:43
10;0314d0ab-28f1-42b0-a164-c827cc6480fa;Wheelbarrow;Object-based;Bacon cross-platform Frozen;37147;2022-08-02T10:24:39;42735;2022-08-02T23:30:55
