id;g_uid;city_id;start_timestamp;end_timestamp;weather_status_id;temperature;feels_like_temperature;humidity;wind_speed;wind_direction;pressureinmmhg;visibilityinmph;cloud_cover;precipitation;created_by;created_on;updated_by;updated_on
1;3d76b4f5-5fa3-419a-9a15-a08a9a72a64e;31974;6125;66114;2653;79648;96025;58260;8932;1571;11983;23165;66458;67428;77728;2022-08-03T02:50:10;81023;2022-08-03T01:11:11
2;9f50c20c-ea65-488b-9aab-6d64d50d0cbb;40349;84481;66676;94328;28208;8626;16210;28866;54579;48404;25231;12298;60749;91486;2022-08-03T08:34:38;95661;2022-08-03T04:49:24
3;77761715-e932-48b8-b49a-be98b26508b9;3340;35585;28188;55907;61202;54112;43999;84178;89736;3016;58909;73493;37578;88443;2022-08-02T09:47:53;17055;2022-08-02T19:00:14
4;8eab603d-de97-4e66-9f04-3d00002c911f;38113;403;11409;51315;96033;48540;75265;31542;84647;85202;93635;94846;77353;63565;2022-08-03T03:25:11;68476;2022-08-02T19:03:48
5;4fd2016b-1786-4423-a02a-ab0899526468;41710;33008;58896;89237;92309;79621;40734;49184;39372;3323;33426;26423;43960;54019;2022-08-02T15:42:22;13676;2022-08-03T08:09:06
6;aa3ad633-53ca-4d40-a836-c31f49615ecc;47295;77105;94095;47955;43835;4559;59503;36469;87908;91329;33669;94898;77141;69165;2022-08-03T06:05:54;9910;2022-08-02T17:35:25
7;b4acad00-3e1e-40e0-92d5-a043fa99134b;58806;47167;2141;60759;53764;36888;13983;66322;32384;41919;54053;39750;44604;36528;2022-08-03T08:00:50;21410;2022-08-02T19:26:50
8;c099b03c-915b-4d9d-90bc-3834a122ac79;67215;33400;45485;35832;56268;84827;27867;8758;64991;81179;73400;29066;54935;35288;2022-08-03T03:50:02;87041;2022-08-03T06:18:50
9;ce97c408-e130-417e-b14a-fc313d21f083;79972;43806;45119;95359;71888;68187;46493;53412;98847;67998;13916;42751;87339;99330;2022-08-03T03:09:10;7884;2022-08-02T15:22:16
10;34355668-743c-41de-8f18-c4e884128361;90607;6146;62508;59774;81021;73904;24606;47434;87276;83871;36553;36892;86514;57896;2022-08-02T16:48:10;31965;2022-08-02T15:32:28
