id;g_uid;zone_type;zone_name;created_by;created_on;updated_by;updated_on
1;2d885730-e7d9-4ce5-b9b2-06456f0be070;Tubers;Reactive Mouse;64966;2022-08-03T05:30:59;38014;2022-08-03T02:38:04
2;585bd935-78cc-48ed-a74e-34834cf354d4;Leafy;Parkway;58308;2022-08-02T16:05:12;2168;2022-08-02T16:47:45
3;fb17dd5d-691f-411b-bf16-c652a226d1f4;Tubers;programming vertical Finland;866;2022-08-02T10:53:02;16701;2022-08-02T16:08:52
4;c9d4c6b3-dd37-47d1-93bc-2bb585f21e23;Fruit;Tasty;56917;2022-08-02T15:43:24;15762;2022-08-02T20:15:34
5;68dfcb0e-191b-4124-a392-aae8517713bb;Greens;payment;4913;2022-08-02T11:41:01;78951;2022-08-03T03:11:54
6;ebdea4d0-466a-4da4-b7ff-3e56834d7859;Fruit;lavender Steel;3774;2022-08-02T09:57:43;1024;2022-08-02T12:30:57
7;444a69ce-1632-4f88-8992-cf8e25c60f8a;Greens;Hawaii Chips Product;23603;2022-08-02T21:32:38;20589;2022-08-02T22:33:48
8;91931142-4b1b-4886-a07b-62ff7d0641ec;Flowers;bluetooth;49963;2022-08-02T22:10:31;83692;2022-08-02T17:49:31
9;cb507850-d57d-4be5-b202-1f5a4ed254d0;Leafy;Specialist;94735;2022-08-02T19:46:01;5120;2022-08-02T22:32:25
10;3a4e38bd-4d9f-47aa-87b4-09276e3cfa40;Fruit;Organic;36335;2022-08-02T14:14:05;22139;2022-08-02T20:40:00
